event_id,employee_id,event_type,event_date,details
EVT000116,EMP00096,Salary Increase,2023-07-06,+4.8%
EVT000117,EMP00097,Salary Increase,2024-11-09,+2.4%
EVT000118,EMP00097,Exit,2024-02-24,Voluntary - Personal Reasons
EVT000119,EMP00098,Promotion,2025-05-09,Level up: 1 grade
EVT000120,EMP00098,Salary Increase,2024-01-26,+6.3%
EVT000121,EMP00098,Salary Increase,2024-12-06,+0.5%
EVT000122,EMP00098,Salary Increase,2024-12-10,+4.3%
EVT000123,EMP00099,Salary Increase,2025-03-30,+7.6%
EVT000124,EMP00100,Promotion,2025-04-28,Level up: 2 grades
EVT000125,EMP00100,Salary Increase,2024-04-08,+5.2%
EVT000126,EMP00101,Salary Increase,2024-06-03,+5.0%
EVT000127,EMP00104,Salary Increase,2024-03-07,+6.8%
EVT000128,EMP00107,Promotion,2024-07-10,Level up: 1 grade
EVT000129,EMP00107,Salary Increase,2024-02-13,+4.8%
EVT000130,EMP00108,Salary Increase,2024-01-20,+12.2%
EVT000131,EMP00108,Salary Increase,2024-04-13,+5.4%
EVT000132,EMP00109,Salary Increase,2024-05-29,+7.0%
EVT000133,EMP00110,Salary Increase,2024-07-09,+5.6%
EVT000134,EMP00111,Salary Increase,2024-11-13,+7.9%
EVT000135,EMP00112,Promotion,2023-09-24,Level up: 2 grades
EVT000136,EMP00112,Salary Increase,2025-01-24,+6.2%
EVT000137,EMP00112,Salary Increase,2025-06-30,+7.5%
EVT000138,EMP00113,Salary Increase,2023-03-19,+6.7%
EVT000139,EMP00113,Salary Increase,2025-06-20,+6.3%
EVT000140,EMP00114,Salary Increase,2024-03-02,+2.5%
EVT000141,EMP00114,Salary Increase,2024-05-12,+8.2%
EVT000142,EMP00114,Salary Increase,2023-06-09,+3.7%
EVT000143,EMP00116,Promotion,2025-02-01,Level up: 1 grade
EVT000144,EMP00116,Salary Increase,2024-09-18,+4.1%
EVT000145,EMP00116,Salary Increase,2023-01-14,+8.3%
EVT000146,EMP00117,Salary Increase,2024-04-15,+1.4%
EVT000147,EMP00117,Exit,2024-12-08,Voluntary - Personal Reasons
EVT000148,EMP00118,Salary Increase,2025-06-12,+7.9%
EVT000149,EMP00118,Salary Increase,2025-01-09,+2.1%
EVT000150,EMP00119,Salary Increase,2024-03-13,+10.1%
EVT000151,EMP00119,Salary Increase,2025-01-13,+9.7%
EVT000152,EMP00120,Salary Increase,2024-03-09,+4.2%
EVT000153,EMP00121,Salary Increase,2023-09-25,+5.0%
EVT000154,EMP00121,Salary Increase,2025-04-26,+5.6%
EVT000155,EMP00122,Promotion,2024-07-03,Level up: 2 grades
EVT000156,EMP00122,Salary Increase,2023-04-15,+6.6%
EVT000157,EMP00122,Salary Increase,2024-09-23,+4.2%
EVT000158,EMP00124,Promotion,2023-12-22,Level up: 2 grades
EVT000159,EMP00124,Salary Increase,2024-06-14,+3.4%
EVT000160,EMP00124,Salary Increase,2023-07-01,+8.6%
EVT000161,EMP00125,Salary Increase,2024-05-05,+2.9%
EVT000162,EMP00125,Salary Increase,2024-04-03,+4.1%
EVT000163,EMP00125,Salary Increase,2025-01-28,+10.5%
EVT000164,EMP00126,Salary Increase,2025-03-03,+7.5%
EVT000165,EMP00126,Salary Increase,2024-10-28,+4.4%
EVT000166,EMP00127,Salary Increase,2024-12-10,+5.8%
EVT000167,EMP00127,Salary Increase,2023-01-06,+1.8%
EVT000168,EMP00128,Salary Increase,2024-07-13,+3.6%
EVT000169,EMP00128,Salary Increase,2024-04-19,+7.2%
EVT000170,EMP00131,Salary Increase,2024-10-15,+5.3%
EVT000171,EMP00131,Salary Increase,2024-01-05,+8.6%
EVT000172,EMP00131,Salary Increase,2025-02-23,+9.8%
EVT000173,EMP00132,Salary Increase,2024-02-25,+8.8%
EVT000174,EMP00132,Salary Increase,2023-08-28,+6.7%
EVT000175,EMP00132,Salary Increase,2023-11-23,+7.1%
EVT000176,EMP00133,Salary Increase,2024-10-07,+2.9%
EVT000177,EMP00133,Salary Increase,2023-11-17,+8.0%
EVT000178,EMP00135,Salary Increase,2025-03-03,+8.0%
EVT000179,EMP00137,Exit,2024-12-16,Voluntary - Career Growth
EVT000180,EMP00138,Salary Increase,2025-04-28,+5.4%
EVT000181,EMP00138,Salary Increase,2023-04-30,+6.0%
EVT000182,EMP00139,Salary Increase,2024-03-27,+4.2%
EVT000183,EMP00139,Exit,2023-12-03,Voluntary - Personal Reasons
EVT000184,EMP00140,Promotion,2023-08-23,Level up: 1 grade
EVT000185,EMP00140,Salary Increase,2024-01-20,+4.7%
EVT000186,EMP00141,Salary Increase,2024-09-15,+4.4%
EVT000187,EMP00142,Salary Increase,2023-06-01,+7.7%
EVT000188,EMP00142,Salary Increase,2024-10-23,+5.4%
EVT000189,EMP00142,Salary Increase,2023-01-14,+8.4%
EVT000190,EMP00143,Salary Increase,2023-11-21,+6.4%
EVT000191,EMP00143,Exit,2024-08-20,Voluntary - Career Growth
EVT000192,EMP00144,Salary Increase,2024-12-23,+4.4%
EVT000193,EMP00146,Promotion,2024-02-04,Level up: 2 grades
EVT000194,EMP00146,Salary Increase,2023-04-20,+2.3%
EVT000195,EMP00147,Promotion,2025-06-27,Level up: 1 grade
EVT000196,EMP00148,Promotion,2024-08-27,Level up: 1 grade
EVT000197,EMP00148,Salary Increase,2024-10-05,+6.4%
EVT000198,EMP00148,Salary Increase,2023-12-14,+8.2%
EVT000199,EMP00149,Salary Increase,2024-07-30,+4.7%
EVT000200,EMP00149,Salary Increase,2024-07-29,+8.5%
EVT000201,EMP00149,Salary Increase,2024-08-14,+5.7%
EVT000202,EMP00153,Salary Increase,2023-01-13,+5.9%
EVT000203,EMP00154,Promotion,2025-06-02,Level up: 1 grade
EVT000204,EMP00155,Salary Increase,2023-02-14,+11.2%
EVT000205,EMP00156,Exit,2023-04-24,Voluntary - Better Opportunity
EVT000206,EMP00157,Salary Increase,2024-11-14,+2.5%
EVT000207,EMP00158,Salary Increase,2023-09-06,+5.9%
EVT000208,EMP00158,Exit,2023-08-17,Voluntary - Career Growth
EVT000209,EMP00159,Salary Increase,2025-03-30,+4.5%
EVT000210,EMP00160,Salary Increase,2024-05-16,+4.8%
EVT000211,EMP00160,Exit,2024-11-03,Voluntary - Better Opportunity
EVT000212,EMP00161,Salary Increase,2024-11-22,+2.0%
EVT000213,EMP00161,Salary Increase,2023-08-19,+4.9%
EVT000214,EMP00164,Salary Increase,2023-12-13,+6.7%
EVT000215,EMP00165,Salary Increase,2025-02-04,+8.5%
EVT000216,EMP00167,Salary Increase,2024-01-19,+1.4%
EVT000217,EMP00168,Promotion,2025-01-21,Level up: 1 grade
EVT000218,EMP00168,Salary Increase,2023-04-14,+5.4%
EVT000219,EMP00169,Salary Increase,2023-11-19,+9.2%
EVT000220,EMP00170,Promotion,2023-08-23,Level up: 2 grades
EVT000221,EMP00171,Salary Increase,2025-05-10,+5.8%
EVT000222,EMP00171,Salary Increase,2023-06-10,+8.3%
EVT000223,EMP00171,Salary Increase,2024-05-30,+5.3%
EVT000224,EMP00171,Salary Increase,2023-10-04,+8.9%
EVT000225,EMP00172,Promotion,2024-12-03,Level up: 2 grades
EVT000226,EMP00172,Salary Increase,2023-07-17,+6.5%
EVT000227,EMP00172,Salary Increase,2024-07-11,+7.9%
EVT000228,EMP00173,Salary Increase,2025-04-07,+2.7%
EVT000229,EMP00174,Salary Increase,2025-02-13,+7.0%
EVT000230,EMP00175,Promotion,2024-01-07,Level up: 1 grade
EVT000231,EMP00176,Salary Increase,2023-03-13,+8.2%
EVT000232,EMP00176,Salary Increase,2024-05-22,+6.9%
EVT000233,EMP00177,Promotion,2024-01-20,Level up: 1 grade
EVT000234,EMP00177,Salary Increase,2024-08-27,+5.5%
EVT000235,EMP00177,Salary Increase,2023-05-29,+5.9%
EVT000236,EMP00178,Salary Increase,2023-09-13,+5.7%
EVT000237,EMP00179,Salary Increase,2023-03-31,+1.5%
EVT000238,EMP00181,Salary Increase,2023-07-01,+9.1%
EVT000239,EMP00183,Promotion,2023-07-24,Level up: 1 grade
EVT000240,EMP00183,Salary Increase,2023-07-15,+5.2%
EVT000241,EMP00185,Promotion,2024-03-24,Level up: 1 grade
EVT000242,EMP00185,Salary Increase,2023-05-25,+1.9%
EVT000243,EMP00187,Exit,2025-02-06,Voluntary - Better Opportunity
EVT000244,EMP00188,Salary Increase,2024-06-25,+3.0%
EVT000245,EMP00188,Salary Increase,2025-01-22,+4.7%
EVT000246,EMP00192,Salary Increase,2025-02-09,+7.1%
EVT000247,EMP00192,Salary Increase,2023-01-27,+4.0%
EVT000248,EMP00193,Salary Increase,2023-08-24,+6.1%
EVT000249,EMP00194,Salary Increase,2024-11-30,+6.3%
EVT000250,EMP00194,Salary Increase,2024-06-07,+8.1%
EVT000251,EMP00194,Salary Increase,2024-05-16,+2.5%
EVT000252,EMP00194,Salary Increase,2023-04-17,+10.0%
EVT000253,EMP00195,Salary Increase,2024-09-07,+5.0%
EVT000254,EMP00196,Salary Increase,2023-09-06,+4.3%
EVT000255,EMP00197,Salary Increase,2023-08-04,+5.8%
EVT000256,EMP00197,Salary Increase,2024-08-15,+2.9%
EVT000257,EMP00198,Salary Increase,2023-02-17,+7.6%
EVT000258,EMP00198,Salary Increase,2023-07-26,+4.7%
EVT000259,EMP00198,Salary Increase,2023-02-03,+8.0%
EVT000260,EMP00199,Promotion,2024-10-29,Level up: 1 grade
EVT000261,EMP00200,Promotion,2024-05-18,Level up: 1 grade
EVT000262,EMP00201,Salary Increase,2024-06-16,+5.9%
EVT000263,EMP00202,Salary Increase,2025-06-02,+5.9%
EVT000264,EMP00202,Salary Increase,2025-02-28,+4.9%
EVT000265,EMP00203,Salary Increase,2024-02-09,+5.7%
EVT000266,EMP00203,Salary Increase,2025-05-31,+0.5%
EVT000267,EMP00203,Salary Increase,2023-09-05,+4.6%
EVT000268,EMP00204,Salary Increase,2024-01-13,+5.4%
EVT000269,EMP00205,Salary Increase,2023-05-25,+5.3%
EVT000270,EMP00207,Salary Increase,2023-11-03,+7.0%
EVT000271,EMP00207,Salary Increase,2025-02-21,+2.3%
EVT000272,EMP00209,Salary Increase,2023-10-19,+11.6%
EVT000273,EMP00209,Salary Increase,2024-05-14,+5.9%
EVT000274,EMP00210,Salary Increase,2023-03-30,+3.8%
EVT000275,EMP00210,Salary Increase,2023-11-19,+5.3%
EVT000276,EMP00213,Salary Increase,2023-11-12,+2.6%
EVT000277,EMP00213,Salary Increase,2023-11-25,+6.5%
EVT000278,EMP00214,Salary Increase,2024-09-19,+11.3%
EVT000279,EMP00214,Salary Increase,2023-12-28,+8.0%
EVT000280,EMP00214,Salary Increase,2023-02-02,+7.2%
EVT000281,EMP00215,Salary Increase,2023-03-13,+9.2%
EVT000282,EMP00215,Salary Increase,2024-06-02,+7.1%
EVT000283,EMP00215,Salary Increase,2025-03-25,+6.7%
EVT000284,EMP00215,Salary Increase,2023-04-10,+8.0%
EVT000285,EMP00215,Salary Increase,2024-05-16,+8.6%
EVT000286,EMP00216,Salary Increase,2024-07-30,+0.5%
EVT000287,EMP00216,Salary Increase,2025-01-21,+5.8%
EVT000288,EMP00216,Salary Increase,2024-05-05,+6.4%
EVT000289,EMP00216,Salary Increase,2023-02-27,+6.7%
EVT000290,EMP00217,Salary Increase,2023-08-22,+6.1%
EVT000291,EMP00218,Promotion,2023-09-11,Level up: 1 grade
EVT000292,EMP00218,Salary Increase,2023-12-29,+5.6%
EVT000293,EMP00220,Salary Increase,2023-12-01,+5.3%
EVT000294,EMP00222,Salary Increase,2023-05-11,+6.1%
EVT000295,EMP00222,Salary Increase,2023-11-23,+10.1%
EVT000296,EMP00223,Salary Increase,2025-02-06,+5.8%
EVT000297,EMP00226,Salary Increase,2025-03-28,+8.7%
EVT000298,EMP00228,Salary Increase,2023-01-27,+4.0%
EVT000299,EMP00229,Salary Increase,2023-08-16,+10.1%
EVT000300,EMP00229,Salary Increase,2023-06-25,+7.6%
EVT000301,EMP00230,Salary Increase,2025-05-25,+4.7%
EVT000302,EMP00231,Promotion,2023-09-25,Level up: 2 grades
EVT000303,EMP00231,Salary Increase,2024-11-13,+4.7%
EVT000304,EMP00231,Salary Increase,2023-12-04,+7.2%
EVT000305,EMP00231,Salary Increase,2024-06-09,+4.7%
EVT000306,EMP00231,Salary Increase,2024-02-08,+6.3%
EVT000307,EMP00231,Salary Increase,2024-09-24,+7.6%
EVT000308,EMP00232,Salary Increase,2024-12-29,+4.8%
EVT000309,EMP00233,Salary Increase,2024-08-18,+8.7%
EVT000310,EMP00233,Salary Increase,2024-06-11,+7.2%
EVT000311,EMP00233,Salary Increase,2025-03-16,+4.8%
EVT000312,EMP00235,Salary Increase,2024-07-01,+4.1%
EVT000313,EMP00235,Salary Increase,2025-04-14,+4.7%
EVT000314,EMP00236,Salary Increase,2023-03-10,+6.5%
EVT000315,EMP00237,Salary Increase,2025-03-14,+3.8%
EVT000316,EMP00237,Salary Increase,2024-08-26,+4.2%
EVT000317,EMP00238,Salary Increase,2024-02-07,+2.7%
EVT000318,EMP00239,Salary Increase,2024-08-18,+1.9%
EVT000319,EMP00240,Promotion,2024-06-07,Level up: 1 grade
EVT000320,EMP00240,Salary Increase,2024-02-14,+8.5%
EVT000321,EMP00241,Promotion,2024-04-07,Level up: 2 grades
EVT000322,EMP00244,Salary Increase,2024-09-02,+4.5%
EVT000323,EMP00245,Salary Increase,2023-03-30,+7.2%
EVT000324,EMP00245,Salary Increase,2024-10-17,+5.2%
EVT000325,EMP00246,Salary Increase,2024-05-20,+7.5%
EVT000326,EMP00247,Exit,2023-05-13,Voluntary - Compensation
EVT000327,EMP00248,Salary Increase,2023-06-29,+7.9%
EVT000328,EMP00248,Salary Increase,2024-04-20,+5.0%
EVT000329,EMP00249,Promotion,2024-09-25,Level up: 1 grade
EVT000330,EMP00249,Salary Increase,2024-03-26,+4.3%
EVT000331,EMP00249,Salary Increase,2024-12-16,+3.4%
EVT000332,EMP00251,Promotion,2023-12-13,Level up: 1 grade
EVT000333,EMP00252,Promotion,2024-09-30,Level up: 2 grades
EVT000334,EMP00252,Salary Increase,2023-06-04,+3.8%
EVT000335,EMP00253,Promotion,2024-12-31,Level up: 1 grade
EVT000336,EMP00255,Salary Increase,2024-02-02,+8.9%
EVT000337,EMP00255,Salary Increase,2024-04-24,+8.5%
EVT000338,EMP00260,Salary Increase,2024-01-10,+3.4%
EVT000339,EMP00260,Salary Increase,2023-04-08,+4.2%
EVT000340,EMP00260,Salary Increase,2024-09-30,+7.3%
EVT000341,EMP00262,Salary Increase,2024-03-22,+4.1%
EVT000342,EMP00262,Salary Increase,2024-02-09,+4.5%
EVT000343,EMP00264,Salary Increase,2025-02-16,+6.2%
EVT000344,EMP00264,Salary Increase,2024-09-19,+3.3%
EVT000345,EMP00266,Salary Increase,2024-08-22,+9.2%
EVT000346,EMP00267,Salary Increase,2023-08-19,+3.4%
EVT000347,EMP00268,Promotion,2024-05-23,Level up: 1 grade
EVT000348,EMP00269,Promotion,2025-06-01,Level up: 1 grade
EVT000349,EMP00269,Salary Increase,2023-07-15,+7.3%
EVT000350,EMP00270,Salary Increase,2023-07-08,+6.1%
EVT000351,EMP00270,Salary Increase,2024-03-11,+6.9%
EVT000352,EMP00270,Salary Increase,2024-08-11,+1.7%
EVT000353,EMP00270,Exit,2024-07-19,Voluntary - Better Opportunity
EVT000354,EMP00271,Promotion,2024-06-24,Level up: 2 grades
EVT000355,EMP00271,Salary Increase,2025-05-24,+4.3%
EVT000356,EMP00272,Salary Increase,2024-08-09,+1.8%
EVT000357,EMP00273,Promotion,2025-05-14,Level up: 2 grades
EVT000358,EMP00273,Exit,2025-01-25,Voluntary - Career Growth
EVT000359,EMP00275,Salary Increase,2025-05-22,+4.2%
EVT000360,EMP00275,Salary Increase,2023-10-20,+7.9%
EVT000361,EMP00276,Salary Increase,2025-03-20,+3.8%
EVT000362,EMP00277,Salary Increase,2023-03-05,+5.5%
EVT000363,EMP00278,Salary Increase,2024-02-13,+7.5%
EVT000364,EMP00278,Salary Increase,2024-11-18,+5.4%
EVT000365,EMP00279,Promotion,2024-02-03,Level up: 1 grade
EVT000366,EMP00279,Salary Increase,2023-03-09,+7.2%
EVT000367,EMP00279,Salary Increase,2024-04-10,+3.4%
EVT000368,EMP00279,Exit,2025-04-12,Involuntary - Performance
EVT000369,EMP00280,Promotion,2024-05-11,Level up: 1 grade
EVT000370,EMP00282,Promotion,2023-12-04,Level up: 1 grade
EVT000371,EMP00282,Salary Increase,2024-12-11,+4.8%
EVT000372,EMP00283,Promotion,2024-08-27,Level up: 1 grade
EVT000373,EMP00283,Salary Increase,2023-01-15,+4.8%
EVT000374,EMP00284,Salary Increase,2023-01-10,+3.9%
EVT000375,EMP00286,Salary Increase,2024-10-06,+6.3%
EVT000376,EMP00287,Salary Increase,2024-03-01,+3.4%
EVT000377,EMP00288,Promotion,2024-11-29,Level up: 1 grade
EVT000378,EMP00288,Salary Increase,2024-03-15,+7.4%
EVT000379,EMP00288,Salary Increase,2024-01-23,+3.8%
EVT000380,EMP00289,Salary Increase,2024-07-12,+6.6%
EVT000381,EMP00292,Salary Increase,2025-02-23,+8.4%
EVT000382,EMP00293,Promotion,2025-05-15,Level up: 1 grade
EVT000383,EMP00293,Salary Increase,2024-04-22,+0.5%
EVT000384,EMP00294,Salary Increase,2024-01-18,+8.1%
EVT000385,EMP00295,Salary Increase,2024-06-26,+5.6%
EVT000386,EMP00296,Promotion,2024-10-23,Level up: 1 grade
EVT000387,EMP00296,Salary Increase,2023-10-31,+8.5%
EVT000388,EMP00297,Salary Increase,2023-10-06,+7.1%
EVT000389,EMP00297,Salary Increase,2024-11-17,+6.0%
EVT000390,EMP00298,Salary Increase,2023-10-24,+3.3%
EVT000391,EMP00298,Salary Increase,2024-09-19,+9.7%
EVT000392,EMP00298,Salary Increase,2024-11-01,+5.8%
EVT000393,EMP00300,Salary Increase,2023-11-17,+9.7%
EVT000394,EMP00300,Salary Increase,2024-02-02,+6.5%
EVT000395,EMP00300,Salary Increase,2024-04-07,+5.5%
EVT000396,EMP00301,Salary Increase,2024-08-23,+3.0%
EVT000397,EMP00302,Salary Increase,2023-05-10,+10.2%
EVT000398,EMP00303,Promotion,2024-01-09,Level up: 2 grades
EVT000399,EMP00303,Salary Increase,2025-05-30,+7.1%
EVT000400,EMP00304,Salary Increase,2023-03-03,+4.1%
EVT000401,EMP00305,Salary Increase,2023-04-18,+3.3%
EVT000402,EMP00308,Salary Increase,2025-01-18,+7.9%
EVT000403,EMP00309,Salary Increase,2023-08-26,+6.9%
EVT000404,EMP00309,Salary Increase,2024-01-07,+6.6%
EVT000405,EMP00309,Salary Increase,2023-10-03,+7.7%
EVT000406,EMP00310,Salary Increase,2025-04-23,+4.9%
EVT000407,EMP00315,Salary Increase,2024-08-16,+5.6%
EVT000408,EMP00315,Salary Increase,2024-12-04,+2.5%
EVT000409,EMP00315,Salary Increase,2024-05-27,+8.7%
EVT000410,EMP00315,Salary Increase,2024-03-23,+6.5%
EVT000411,EMP00316,Salary Increase,2024-04-30,+8.6%
EVT000412,EMP00317,Salary Increase,2024-09-13,+5.9%
EVT000413,EMP00319,Salary Increase,2025-01-26,+3.2%
EVT000414,EMP00319,Salary Increase,2023-05-23,+6.3%
EVT000415,EMP00320,Salary Increase,2023-08-03,+6.7%
EVT000416,EMP00322,Promotion,2024-10-23,Level up: 2 grades
EVT000417,EMP00323,Salary Increase,2024-12-24,+1.7%
EVT000418,EMP00323,Salary Increase,2023-09-04,+0.5%
EVT000419,EMP00324,Salary Increase,2024-12-17,+5.7%
EVT000420,EMP00324,Salary Increase,2025-06-04,+8.8%
EVT000421,EMP00325,Salary Increase,2025-03-26,+6.4%
EVT000422,EMP00327,Promotion,2024-05-26,Level up: 1 grade
EVT000423,EMP00328,Promotion,2025-06-25,Level up: 1 grade
EVT000424,EMP00328,Salary Increase,2025-05-15,+7.1%
EVT000425,EMP00329,Promotion,2024-10-29,Level up: 1 grade
EVT000426,EMP00329,Salary Increase,2023-05-08,+4.0%
EVT000427,EMP00329,Salary Increase,2024-02-01,+4.2%
EVT000428,EMP00329,Salary Increase,2023-02-10,+6.8%
EVT000429,EMP00329,Salary Increase,2023-06-01,+9.2%
EVT000430,EMP00330,Salary Increase,2023-01-19,+4.6%
