performance_id,employee_id,review_period,review_date,performance_score_1to5,manager_rating_1to5,goals_total,goals_achieved,goal_completion_rate_pct,peer_feedback_score_1to5,had_recent_training_last_180d
PRF000051,EMP00011,2025-H1,2025-06-30,2.93,2.0,5,3,53.7,2.59,False
PRF000052,EMP00012,2023-H1,2023-06-30,2.09,2.0,5,2,33.9,1.98,True
PRF000053,EMP00012,2023-H2,2023-12-31,2.3,,5,2,46.2,2.72,True
PRF000054,EMP00012,2024-H1,2024-06-30,2.42,2.0,3,2,59.3,1.84,True
PRF000055,EMP00012,2024-H2,2024-12-31,2.58,,7,4,54.9,3.21,True
PRF000056,EMP00012,2025-H1,2025-06-30,2.73,2.0,7,3,44.0,3.81,True
PRF000057,EMP00013,2023-H2,2023-12-31,3.31,4.0,3,2,61.2,3.24,False
PRF000058,EMP00013,2024-H1,2024-06-30,3.46,4.0,7,4,59.1,4.32,True
PRF000059,EMP00013,2024-H2,2024-12-31,3.67,3.0,7,5,72.5,3.54,True
PRF000060,EMP00013,2025-H1,2025-06-30,3.67,4.0,3,2,71.0,3.8,True
PRF000061,EMP00014,2023-H1,2023-06-30,3.84,4.0,5,4,70.8,3.43,False
PRF000062,EMP00014,2023-H2,2023-12-31,3.83,4.0,7,6,80.0,2.96,False
PRF000063,EMP00014,2024-H1,2024-06-30,3.94,4.0,4,3,72.0,3.55,True
PRF000064,EMP00014,2024-H2,2024-12-31,3.93,4.0,3,3,84.0,3.12,False
PRF000065,EMP00014,2025-H1,2025-06-30,3.84,4.0,7,6,86.4,4.32,False
PRF000066,EMP00015,2024-H2,2024-12-31,3.31,3.0,3,2,73.2,3.06,True
PRF000067,EMP00015,2025-H1,2025-06-30,3.24,4.0,3,2,74.7,3.03,True
PRF000068,EMP00016,2023-H1,2023-06-30,3.1,3.0,5,2,43.8,2.84,False
PRF000069,EMP00016,2023-H2,2023-12-31,3.19,3.0,3,2,58.0,3.41,True
PRF000070,EMP00016,2024-H1,2024-06-30,3.38,3.0,3,2,68.0,3.97,True
PRF000071,EMP00016,2024-H2,2024-12-31,3.52,4.0,7,5,71.2,3.52,True
PRF000072,EMP00016,2025-H1,2025-06-30,3.53,3.0,3,2,55.7,3.43,True
PRF000073,EMP00017,2024-H1,2024-06-30,2.01,1.0,4,2,43.7,1.92,False
PRF000074,EMP00017,2024-H2,2024-12-31,2.33,2.0,7,4,60.0,2.86,False
PRF000075,EMP00017,2025-H1,2025-06-30,2.39,2.0,4,2,46.1,3.19,True
PRF000076,EMP00018,2024-H2,2024-12-31,3.06,,5,2,46.8,3.11,True
PRF000077,EMP00018,2025-H1,2025-06-30,3.03,3.0,4,3,69.4,2.72,True
PRF000078,EMP00019,2024-H1,2024-06-30,2.73,3.0,6,3,50.3,2.82,True
PRF000079,EMP00019,2024-H2,2024-12-31,2.71,2.0,3,1,40.1,2.07,False
PRF000080,EMP00019,2025-H1,2025-06-30,2.74,,5,3,50.7,2.84,True
PRF000081,EMP00020,2023-H1,2023-06-30,2.7,3.0,4,2,51.1,2.46,False
PRF000082,EMP00020,2023-H2,2023-12-31,2.57,3.0,6,4,71.0,2.65,False
PRF000083,EMP00020,2024-H1,2024-06-30,2.76,3.0,4,2,51.6,2.22,True
PRF000084,EMP00020,2024-H2,2024-12-31,2.73,3.0,3,2,62.0,2.65,False
PRF000085,EMP00020,2025-H1,2025-06-30,2.63,3.0,7,2,31.2,3.0,True
PRF000086,EMP00021,2023-H1,2023-06-30,3.69,4.0,6,3,57.7,3.85,False
PRF000087,EMP00021,2023-H2,2023-12-31,3.95,4.0,3,3,84.7,3.74,True
PRF000088,EMP00021,2024-H1,2024-06-30,3.87,4.0,5,4,74.6,4.2,True
PRF000089,EMP00021,2024-H2,2024-12-31,4.06,4.0,3,2,81.2,4.67,True
PRF000090,EMP00021,2025-H1,2025-06-30,4.16,4.0,7,6,80.7,4.05,True
PRF000091,EMP00022,2023-H1,2023-06-30,3.05,3.0,4,2,42.9,1.94,True
PRF000092,EMP00022,2023-H2,2023-12-31,3.16,3.0,3,2,74.5,3.49,True
PRF000093,EMP00022,2024-H1,2024-06-30,3.36,3.0,7,5,74.2,4.14,True
PRF000094,EMP00022,2024-H2,2024-12-31,3.56,3.0,6,4,62.2,4.22,True
PRF000095,EMP00022,2025-H1,2025-06-30,3.89,4.0,7,6,81.5,4.67,True
PRF000096,EMP00023,2023-H2,2023-12-31,3.06,3.0,6,4,58.7,3.1,True
PRF000097,EMP00023,2024-H1,2024-06-30,3.0,4.0,3,2,51.5,3.51,False
PRF000098,EMP00023,2024-H2,2024-12-31,3.27,3.0,4,3,71.4,3.64,False
PRF000099,EMP00023,2025-H1,2025-06-30,3.54,3.0,3,2,62.8,3.77,True
PRF000100,EMP00024,2023-H1,2023-06-30,2.76,2.0,7,4,54.0,2.88,True
PRF000101,EMP00024,2023-H2,2023-12-31,3.11,3.0,6,4,69.9,2.27,True
PRF000102,EMP00024,2024-H1,2024-06-30,3.21,3.0,6,4,60.3,3.69,True
PRF000103,EMP00024,2024-H2,2024-12-31,3.37,3.0,3,2,60.5,3.17,True
PRF000104,EMP00024,2025-H1,2025-06-30,3.46,3.0,3,2,59.8,4.24,False
PRF000105,EMP00025,2023-H2,2023-12-31,3.06,4.0,4,2,56.1,2.82,False
PRF000106,EMP00025,2024-H1,2024-06-30,3.22,3.0,4,3,71.1,3.57,True
PRF000107,EMP00025,2024-H2,2024-12-31,3.21,3.0,7,4,51.1,3.07,True
PRF000108,EMP00025,2025-H1,2025-06-30,3.37,4.0,7,6,84.2,2.59,True
PRF000109,EMP00026,2023-H1,2023-06-30,3.03,3.0,5,3,58.1,2.9,True
PRF000110,EMP00026,2023-H2,2023-12-31,2.97,3.0,6,4,64.1,3.06,True
PRF000111,EMP00026,2024-H1,2024-06-30,2.88,2.0,5,3,52.3,3.24,False
PRF000112,EMP00026,2024-H2,2024-12-31,2.88,2.0,5,2,40.6,3.11,True
PRF000113,EMP00026,2025-H1,2025-06-30,2.77,3.0,6,4,61.3,2.5,False
PRF000114,EMP00027,2024-H1,2024-06-30,3.24,2.0,6,3,45.9,3.44,True
PRF000115,EMP00027,2024-H2,2024-12-31,3.55,4.0,3,2,67.7,4.25,True
PRF000116,EMP00027,2025-H1,2025-06-30,3.86,,4,3,80.8,3.84,True
PRF000117,EMP00028,2023-H1,2023-06-30,3.11,3.0,4,3,70.7,3.97,True
PRF000118,EMP00028,2023-H2,2023-12-31,3.28,4.0,5,3,58.0,2.26,True
PRF000119,EMP00028,2024-H1,2024-06-30,3.35,4.0,3,2,70.6,3.06,False
PRF000120,EMP00028,2024-H2,2024-12-31,3.66,4.0,5,4,76.4,4.1,True
PRF000121,EMP00028,2025-H1,2025-06-30,3.73,4.0,6,5,87.7,3.42,True
PRF000122,EMP00029,2023-H1,2023-06-30,3.35,3.0,7,4,59.8,3.83,False
PRF000123,EMP00029,2023-H2,2023-12-31,3.44,3.0,7,5,70.9,3.95,False
PRF000124,EMP00029,2024-H1,2024-06-30,3.65,4.0,7,5,77.6,3.29,False
PRF000125,EMP00029,2024-H2,2024-12-31,3.57,,6,4,64.3,4.1,False
PRF000126,EMP00029,2025-H1,2025-06-30,3.42,4.0,4,3,66.0,3.68,False
PRF000127,EMP00030,2024-H1,2024-06-30,3.44,4.0,3,2,57.7,2.77,False
PRF000128,EMP00030,2024-H2,2024-12-31,3.59,4.0,5,3,55.5,2.85,True
PRF000129,EMP00030,2025-H1,2025-06-30,3.68,3.0,6,5,81.8,3.58,False
PRF000130,EMP00031,2023-H1,2023-06-30,2.91,3.0,4,2,60.7,1.9,True
PRF000131,EMP00031,2023-H2,2023-12-31,3.12,3.0,4,3,64.2,2.83,True
PRF000132,EMP00031,2024-H1,2024-06-30,2.91,3.0,6,3,57.8,2.73,False
PRF000133,EMP00031,2024-H2,2024-12-31,2.95,2.0,3,2,64.1,2.66,False
PRF000134,EMP00031,2025-H1,2025-06-30,3.05,3.0,6,4,67.1,3.66,False
PRF000135,EMP00032,2023-H1,2023-06-30,3.13,4.0,4,2,51.6,2.46,True
PRF000136,EMP00032,2023-H2,2023-12-31,3.09,4.0,3,2,59.8,2.91,False
PRF000137,EMP00032,2024-H1,2024-06-30,3.23,3.0,7,5,66.3,3.64,False
PRF000138,EMP00032,2024-H2,2024-12-31,3.37,3.0,7,5,76.9,3.61,True
PRF000139,EMP00032,2025-H1,2025-06-30,3.66,4.0,7,5,69.3,3.25,False
PRF000140,EMP00033,2024-H2,2024-12-31,3.18,2.0,7,5,67.7,3.29,False
PRF000141,EMP00033,2025-H1,2025-06-30,3.21,4.0,7,5,67.5,2.85,False
PRF000142,EMP00034,2023-H1,2023-06-30,3.08,3.0,4,2,48.9,3.08,False
PRF000143,EMP00034,2023-H2,2023-12-31,3.15,4.0,3,2,55.0,3.03,False
PRF000144,EMP00034,2024-H1,2024-06-30,3.45,3.0,7,7,93.8,3.42,True
PRF000145,EMP00034,2024-H2,2024-12-31,3.62,4.0,7,5,70.9,3.72,True
PRF000146,EMP00034,2025-H1,2025-06-30,3.58,3.0,3,2,65.8,2.35,False
PRF000147,EMP00035,2023-H1,2023-06-30,2.58,3.0,5,3,51.0,3.01,True
PRF000148,EMP00035,2023-H2,2023-12-31,2.74,3.0,6,4,59.5,2.65,True
PRF000149,EMP00035,2024-H1,2024-06-30,2.56,3.0,4,2,52.0,2.72,True
PRF000150,EMP00035,2024-H2,2024-12-31,2.6,,5,3,58.5,3.23,True
PRF000151,EMP00035,2025-H1,2025-06-30,2.34,3.0,7,3,44.8,1.63,False
PRF000152,EMP00036,2024-H1,2024-06-30,3.91,4.0,5,4,71.5,3.97,False
PRF000153,EMP00036,2024-H2,2024-12-31,4.17,4.0,5,5,99.8,3.77,True
PRF000154,EMP00036,2025-H1,2025-06-30,4.34,5.0,3,3,90.3,4.81,False
PRF000155,EMP00037,2023-H1,2023-06-30,1.8,1.0,6,2,34.3,2.03,False
PRF000156,EMP00037,2023-H2,2023-12-31,1.94,2.0,3,1,42.5,2.14,True
PRF000157,EMP00037,2024-H1,2024-06-30,1.93,3.0,5,2,30.1,2.46,False
PRF000158,EMP00037,2024-H2,2024-12-31,2.19,2.0,6,3,51.8,2.57,True
PRF000159,EMP00037,2025-H1,2025-06-30,2.07,2.0,3,2,51.4,1.84,True
PRF000160,EMP00038,2023-H1,2023-06-30,3.49,4.0,3,2,76.5,3.2,True
PRF000161,EMP00038,2023-H2,2023-12-31,3.53,3.0,3,2,71.0,3.87,False
PRF000162,EMP00038,2024-H1,2024-06-30,3.55,3.0,5,4,78.5,4.55,False
PRF000163,EMP00038,2024-H2,2024-12-31,3.57,3.0,4,2,59.4,3.34,True
PRF000164,EMP00038,2025-H1,2025-06-30,3.53,4.0,3,2,67.2,2.79,False
PRF000165,EMP00039,2023-H1,2023-06-30,3.34,3.0,3,2,69.2,3.16,False
PRF000166,EMP00039,2023-H2,2023-12-31,3.48,4.0,5,4,85.0,3.86,True
PRF000167,EMP00039,2024-H1,2024-06-30,3.58,4.0,3,2,63.0,3.29,False
PRF000168,EMP00039,2024-H2,2024-12-31,3.86,4.0,5,3,67.3,3.41,False
PRF000169,EMP00039,2025-H1,2025-06-30,3.91,4.0,5,4,77.4,3.65,False
PRF000170,EMP00040,2023-H2,2023-12-31,3.29,3.0,6,4,58.8,2.59,True
PRF000171,EMP00040,2024-H1,2024-06-30,3.36,3.0,4,3,66.2,2.57,False
PRF000172,EMP00040,2024-H2,2024-12-31,3.48,4.0,7,5,66.4,2.84,True
PRF000173,EMP00040,2025-H1,2025-06-30,3.43,4.0,7,5,67.8,4.19,False
PRF000174,EMP00041,2023-H1,2023-06-30,3.85,3.0,5,3,63.0,3.56,False
PRF000175,EMP00041,2023-H2,2023-12-31,4.02,4.0,5,4,87.3,3.96,True
PRF000176,EMP00041,2024-H1,2024-06-30,4.08,4.0,3,3,91.5,4.89,False
PRF000177,EMP00041,2024-H2,2024-12-31,4.4,5.0,4,4,90.5,4.29,True
PRF000178,EMP00041,2025-H1,2025-06-30,4.59,5.0,3,3,100.0,4.61,True
PRF000179,EMP00042,2023-H1,2023-06-30,3.46,4.0,3,2,68.7,3.3,True
PRF000180,EMP00042,2023-H2,2023-12-31,3.5,3.0,5,4,74.5,3.51,False
PRF000181,EMP00042,2024-H1,2024-06-30,3.65,4.0,3,2,72.5,3.55,True
PRF000182,EMP00042,2024-H2,2024-12-31,3.82,4.0,5,3,70.0,3.98,True
PRF000183,EMP00042,2025-H1,2025-06-30,3.82,4.0,5,4,81.1,4.13,False
PRF000184,EMP00043,2023-H1,2023-06-30,3.25,3.0,7,5,65.6,3.15,True
PRF000185,EMP00043,2023-H2,2023-12-31,3.16,3.0,4,3,62.8,3.4,False
PRF000186,EMP00043,2024-H1,2024-06-30,3.21,3.0,4,2,52.7,3.24,False
PRF000187,EMP00043,2024-H2,2024-12-31,3.22,3.0,5,3,56.5,4.2,True
PRF000188,EMP00043,2025-H1,2025-06-30,3.49,3.0,6,5,76.8,3.01,True
PRF000189,EMP00044,2023-H1,2023-06-30,2.91,3.0,5,3,55.0,2.82,False
PRF000190,EMP00044,2023-H2,2023-12-31,2.99,3.0,3,1,37.2,2.71,False
PRF000191,EMP00044,2024-H1,2024-06-30,3.05,3.0,5,2,46.7,3.69,True
PRF000192,EMP00044,2024-H2,2024-12-31,3.17,4.0,3,2,67.3,2.79,True
PRF000193,EMP00044,2025-H1,2025-06-30,3.42,4.0,3,2,56.3,3.41,True
PRF000194,EMP00045,2023-H1,2023-06-30,3.07,3.0,7,5,65.3,3.9,True
PRF000195,EMP00045,2023-H2,2023-12-31,3.34,3.0,6,4,63.0,3.39,True
PRF000196,EMP00045,2024-H1,2024-06-30,3.48,4.0,4,3,68.7,4.04,True
PRF000197,EMP00045,2024-H2,2024-12-31,3.4,3.0,7,4,51.4,2.48,False
PRF000198,EMP00045,2025-H1,2025-06-30,3.28,3.0,7,5,77.0,4.33,False
PRF000199,EMP00046,2023-H1,2023-06-30,2.39,3.0,4,2,44.3,2.77,False
PRF000200,EMP00046,2023-H2,2023-12-31,2.27,2.0,3,1,33.9,3.19,False
PRF000201,EMP00046,2024-H1,2024-06-30,2.45,2.0,6,3,47.1,2.55,True
PRF000202,EMP00046,2024-H2,2024-12-31,2.69,3.0,6,4,62.7,2.49,True
PRF000203,EMP00046,2025-H1,2025-06-30,2.86,3.0,7,3,40.4,2.6,True
PRF000204,EMP00047,2023-H1,2023-06-30,3.24,3.0,6,3,55.4,2.54,True
PRF000205,EMP00047,2023-H2,2023-12-31,3.43,3.0,5,3,56.8,3.83,True
PRF000206,EMP00047,2024-H1,2024-06-30,3.51,4.0,5,3,63.8,2.82,True
PRF000207,EMP00047,2024-H2,2024-12-31,3.49,4.0,4,3,67.3,3.47,False
PRF000208,EMP00047,2025-H1,2025-06-30,3.63,4.0,5,3,58.5,3.58,True
PRF000209,EMP00048,2023-H1,2023-06-30,2.6,3.0,7,4,64.0,2.92,True
PRF000210,EMP00048,2023-H2,2023-12-31,2.73,3.0,6,3,44.3,3.29,True
PRF000211,EMP00048,2024-H1,2024-06-30,2.7,2.0,6,4,60.0,1.88,False
PRF000212,EMP00048,2024-H2,2024-12-31,2.73,3.0,5,2,49.6,1.95,False
PRF000213,EMP00048,2025-H1,2025-06-30,2.74,3.0,5,3,52.9,3.02,False
PRF000214,EMP00049,2023-H1,2023-06-30,2.75,2.0,4,2,59.8,3.12,False
PRF000215,EMP00049,2023-H2,2023-12-31,2.92,3.0,7,3,46.7,2.24,True
PRF000216,EMP00049,2024-H1,2024-06-30,3.05,3.0,3,2,81.9,2.55,True
PRF000217,EMP00049,2024-H2,2024-12-31,2.91,3.0,4,3,62.5,1.43,True
PRF000218,EMP00049,2025-H1,2025-06-30,2.93,2.0,4,3,74.9,2.75,True
PRF000219,EMP00050,2023-H1,2023-06-30,3.31,3.0,7,5,74.8,3.01,True
PRF000220,EMP00050,2023-H2,2023-12-31,3.37,3.0,3,3,84.4,3.48,True
PRF000221,EMP00050,2024-H1,2024-06-30,3.37,4.0,5,3,51.8,2.83,False
PRF000222,EMP00050,2024-H2,2024-12-31,3.36,3.0,6,3,56.2,3.49,False
PRF000223,EMP00050,2025-H1,2025-06-30,3.61,4.0,6,4,60.2,4.16,False
PRF000224,EMP00051,2023-H1,2023-06-30,2.79,2.0,7,5,66.8,2.86,True
PRF000225,EMP00051,2023-H2,2023-12-31,3.12,4.0,3,2,54.6,3.8,True
PRF000226,EMP00051,2024-H1,2024-06-30,3.4,4.0,3,2,65.6,3.68,True
PRF000227,EMP00051,2024-H2,2024-12-31,3.17,3.0,5,4,77.2,2.63,False
PRF000228,EMP00051,2025-H1,2025-06-30,3.42,3.0,7,6,83.1,3.42,True
PRF000229,EMP00052,2023-H1,2023-06-30,2.91,3.0,5,3,63.9,3.28,False
PRF000230,EMP00052,2023-H2,2023-12-31,2.99,3.0,4,2,56.1,3.37,False
PRF000231,EMP00052,2024-H1,2024-06-30,2.99,,6,3,55.2,2.37,False
PRF000232,EMP00052,2024-H2,2024-12-31,3.22,3.0,3,2,64.3,4.0,True
PRF000233,EMP00052,2025-H1,2025-06-30,3.34,4.0,6,5,75.2,3.04,True
PRF000234,EMP00053,2023-H1,2023-06-30,3.93,3.0,5,4,76.9,2.84,True
PRF000235,EMP00053,2023-H2,2023-12-31,3.78,4.0,5,4,78.7,3.28,False
PRF000236,EMP00053,2024-H1,2024-06-30,3.8,4.0,3,3,84.3,4.34,False
PRF000237,EMP00053,2024-H2,2024-12-31,3.88,4.0,5,3,69.7,3.94,False
PRF000238,EMP00053,2025-H1,2025-06-30,4.08,4.0,6,5,84.9,4.67,True
PRF000239,EMP00054,2023-H1,2023-06-30,2.8,2.0,4,2,57.0,2.45,True
PRF000240,EMP00054,2023-H2,2023-12-31,2.72,2.0,3,1,46.5,2.13,False
PRF000241,EMP00054,2024-H1,2024-06-30,2.82,3.0,6,3,46.0,3.01,True
PRF000242,EMP00054,2024-H2,2024-12-31,2.92,3.0,7,4,56.1,3.07,False
PRF000243,EMP00054,2025-H1,2025-06-30,2.88,3.0,6,3,51.9,3.18,False
PRF000244,EMP00055,2023-H1,2023-06-30,3.05,3.0,4,3,74.4,3.2,False
PRF000245,EMP00055,2023-H2,2023-12-31,3.3,3.0,7,5,65.6,3.42,True
PRF000246,EMP00055,2024-H1,2024-06-30,3.4,3.0,6,4,68.5,3.55,False
PRF000247,EMP00055,2024-H2,2024-12-31,3.4,3.0,7,5,71.0,3.19,True
PRF000248,EMP00055,2025-H1,2025-06-30,3.63,4.0,5,3,52.3,2.95,False
PRF000249,EMP00056,2023-H1,2023-06-30,2.78,3.0,7,4,64.3,1.96,False
PRF000250,EMP00056,2023-H2,2023-12-31,2.85,3.0,6,3,55.0,2.37,False
PRF000251,EMP00056,2024-H1,2024-06-30,2.86,3.0,7,4,63.3,2.23,True
PRF000252,EMP00056,2024-H2,2024-12-31,2.78,3.0,7,4,59.5,2.69,False
PRF000253,EMP00056,2025-H1,2025-06-30,2.69,3.0,3,1,45.4,2.97,False
PRF000254,EMP00057,2024-H1,2024-06-30,3.5,3.0,5,4,70.7,4.39,False
PRF000255,EMP00057,2024-H2,2024-12-31,3.45,4.0,4,2,58.4,3.62,True
PRF000256,EMP00057,2025-H1,2025-06-30,3.76,4.0,5,4,76.1,4.99,True
PRF000257,EMP00058,2023-H2,2023-12-31,3.44,3.0,5,4,85.9,3.54,True
PRF000258,EMP00058,2024-H1,2024-06-30,3.19,3.0,6,3,56.3,3.61,False
PRF000259,EMP00058,2024-H2,2024-12-31,3.12,4.0,4,2,45.2,3.36,True
PRF000260,EMP00058,2025-H1,2025-06-30,3.24,3.0,6,4,62.5,2.59,True
PRF000261,EMP00059,2023-H1,2023-06-30,3.24,4.0,7,4,57.9,3.62,False
PRF000262,EMP00059,2023-H2,2023-12-31,3.1,3.0,5,3,60.4,3.38,True
PRF000263,EMP00059,2024-H1,2024-06-30,3.17,3.0,5,2,47.8,2.76,True
PRF000264,EMP00059,2024-H2,2024-12-31,3.14,4.0,3,2,55.6,3.18,False
PRF000265,EMP00059,2025-H1,2025-06-30,3.25,4.0,7,4,60.6,3.67,True
PRF000266,EMP00060,2023-H1,2023-06-30,2.5,3.0,3,2,63.7,3.08,False
PRF000267,EMP00060,2023-H2,2023-12-31,2.47,2.0,4,2,57.5,1.7,False
PRF000268,EMP00060,2024-H1,2024-06-30,2.82,3.0,3,2,50.7,3.05,True
PRF000269,EMP00060,2024-H2,2024-12-31,2.68,,6,3,56.2,3.56,True
PRF000270,EMP00060,2025-H1,2025-06-30,2.78,2.0,4,2,48.5,2.53,True
PRF000271,EMP00061,2024-H1,2024-06-30,3.41,3.0,7,6,83.8,2.28,True
PRF000272,EMP00061,2024-H2,2024-12-31,3.36,3.0,5,3,63.3,4.14,False
PRF000273,EMP00061,2025-H1,2025-06-30,3.67,4.0,7,5,73.0,4.94,True
PRF000274,EMP00062,2023-H1,2023-06-30,3.31,4.0,5,3,61.0,3.63,True
PRF000275,EMP00062,2023-H2,2023-12-31,3.44,4.0,5,4,71.8,4.05,True
PRF000276,EMP00062,2024-H1,2024-06-30,3.46,3.0,4,3,70.4,3.26,True
PRF000277,EMP00062,2024-H2,2024-12-31,3.6,4.0,6,5,75.4,3.38,True
PRF000278,EMP00062,2025-H1,2025-06-30,3.8,3.0,5,4,70.9,2.58,False
PRF000279,EMP00063,2023-H1,2023-06-30,3.52,3.0,4,3,74.7,3.4,False
PRF000280,EMP00063,2023-H2,2023-12-31,3.57,4.0,4,3,77.4,3.86,False
PRF000281,EMP00063,2024-H1,2024-06-30,3.51,4.0,4,4,89.4,3.61,False
PRF000282,EMP00063,2024-H2,2024-12-31,3.72,4.0,7,5,65.6,3.78,True
PRF000283,EMP00063,2025-H1,2025-06-30,3.87,4.0,5,4,75.6,4.77,False
PRF000284,EMP00064,2023-H1,2023-06-30,3.49,4.0,7,5,69.1,3.42,True
PRF000285,EMP00064,2023-H2,2023-12-31,3.42,3.0,7,5,67.0,3.56,True
PRF000286,EMP00064,2024-H1,2024-06-30,3.71,4.0,4,3,70.7,3.46,True
PRF000287,EMP00064,2024-H2,2024-12-31,3.71,3.0,6,5,75.0,4.09,True
PRF000288,EMP00064,2025-H1,2025-06-30,3.74,3.0,6,4,61.1,4.08,True
PRF000289,EMP00065,2023-H1,2023-06-30,3.33,3.0,3,2,67.6,2.33,False
PRF000290,EMP00065,2023-H2,2023-12-31,3.56,4.0,6,4,69.2,2.94,True
PRF000291,EMP00065,2024-H1,2024-06-30,3.79,4.0,5,4,70.1,3.21,True
PRF000292,EMP00065,2024-H2,2024-12-31,4.03,4.0,3,2,78.4,4.69,True
PRF000293,EMP00065,2025-H1,2025-06-30,4.15,3.0,7,6,81.2,4.78,True
PRF000294,EMP00066,2023-H1,2023-06-30,2.79,3.0,5,3,59.3,2.38,True
PRF000295,EMP00066,2023-H2,2023-12-31,2.69,,6,3,50.5,2.77,True
