employee_id,department,country,job_level,gender,age,hire_date,tenure_days_as_of_2025_06_30,annual_salary_usd,manager_id,is_remote,employment_status
EMP00046,Customer Support,India,Senior Manager,Male,26,2021-03-27,1556,61300.0,EMP01605,False,Active
EMP00047,Engineering,India,Individual Contributor,Male,27,2021-01-18,1624,29800.0,EMP00057,True,Active
EMP00048,Sales,Canada,Individual Contributor,Female,32,2018-05-04,2614,54800.0,EMP01505,False,Active
EMP00049,Customer Support,USA,Senior IC,Male,35,2021-06-01,1490,74000.0,EMP00878,False,Active
EMP00050,Sales,UAE,Individual Contributor,Male,26,2019-07-28,2164,45800.0,EMP01714,False,Active
EMP00051,Sales,UAE,Director,Male,36,2022-11-29,944,141900.0,,False,Active
EMP00052,Sales,India,Individual Contributor,Female,26,2022-04-24,1163,25000.0,EMP02626,False,Active
EMP00053,Customer Support,Germany,Individual Contributor,Male,27,2019-10-08,2092,48200.0,EMP02184,True,Active
EMP00054,Customer Support,India,Senior IC,Female,39,2014-08-25,3962,39500.0,EMP00518,True,Active
EMP00055,Customer Support,Germany,Individual Contributor,Male,33,2021-02-28,1583,52200.0,EMP03420,True,Active
EMP00056,Customer Support,UAE,Individual Contributor,Male,36,2016-10-06,3189,43600.0,EMP01235,False,Active
EMP00057,Engineering,India,Manager,Female,23,2024-01-09,538,48400.0,EMP00750,False,Terminated
EMP00058,Engineering,Canada,Individual Contributor,Female,28,2023-11-30,578,45100.0,EMP00001,False,Active
EMP00059,Sales,India,Senior IC,Male,23,2023-04-24,798,35300.0,EMP00880,False,Active
EMP00060,Sales,India,Individual Contributor,Male,25,2022-02-03,1243,28300.0,EMP00095,False,Active
EMP00061,Customer Support,Brazil,Individual Contributor,Female,25,2024-04-11,445,26800.0,EMP01679,False,Active
EMP00062,Engineering,India,Individual Contributor,Male,25,2021-12-30,1278,28300.0,EMP02106,False,Terminated
EMP00063,Engineering,Canada,Individual Contributor,Male,33,2020-11-25,1678,48800.0,EMP01292,False,Active
EMP00064,Customer Support,USA,Individual Contributor,Female,30,2018-01-19,2719,55800.0,EMP03072,False,Active
EMP00065,Customer Support,Canada,Individual Contributor,Male,36,2013-03-05,4500,51900.0,EMP03367,False,Active
EMP00066,Engineering,UAE,Manager,Female,24,2022-09-13,1021,96300.0,EMP01064,False,Active
EMP00067,Engineering,UAE,Team Lead,Female,31,2022-11-03,970,65800.0,EMP02227,False,Active
EMP00068,Engineering,India,Senior Manager,Male,24,2023-03-17,836,59300.0,EMP01405,True,Active
EMP00069,Sales,UAE,Senior IC,Female,31,2023-08-30,670,60600.0,EMP00979,False,Active
EMP00070,Engineering,Germany,Team Lead,Male,34,2020-07-27,1799,84200.0,EMP00750,False,Active
EMP00071,Sales,Brazil,Team Lead,Male,25,2023-03-29,824,51900.0,EMP01814,True,Active
EMP00072,Engineering,USA,Individual Contributor,Male,27,2023-01-28,884,55500.0,EMP00527,False,Active
EMP00073,Operations,Germany,Individual Contributor,Female,24,2024-03-08,479,57300.0,EMP02349,False,Active
EMP00074,Sales,India,Senior IC,Female,30,2022-01-04,1273,33700.0,EMP03095,False,Active
EMP00075,Sales,Germany,Team Lead,Male,25,2024-02-12,504,78400.0,EMP01279,True,Active
EMP00076,Sales,Germany,Senior IC,,32,2016-07-29,3258,66600.0,EMP01996,True,Active
EMP00077,Sales,UAE,Individual Contributor,Male,32,2018-05-20,2598,42600.0,EMP03407,True,Active
EMP00078,Customer Support,USA,Director,Female,28,2015-11-20,3510,188500.0,,False,Active
EMP00079,Engineering,Brazil,Individual Contributor,Female,26,2024-02-09,507,22400.0,EMP01408,False,Active
EMP00080,Customer Support,USA,Senior Manager,Female,28,2024-03-27,460,130200.0,EMP03087,False,Active
EMP00081,Customer Support,Brazil,Manager,Male,27,2024-01-17,530,62200.0,EMP00148,True,Active
EMP00082,Engineering,UAE,Manager,Female,37,2016-12-27,3107,88000.0,EMP02049,False,Active
EMP00083,Customer Support,Germany,Team Lead,Male,33,2015-09-22,3569,88900.0,EMP00905,False,Active
EMP00084,Sales,Brazil,Individual Contributor,Male,30,2018-05-13,2605,33900.0,EMP00633,False,Active
EMP00085,Sales,Canada,Senior IC,Female,22,2023-03-27,826,65400.0,EMP01805,False,Active
EMP00086,Sales,UAE,Team Lead,Male,30,2018-03-10,2669,81000.0,EMP02481,False,Active
EMP00087,Customer Support,Germany,Team Lead,Male,33,2025-03-01,121,97800.0,EMP02584,False,Active
EMP00088,Engineering,India,Individual Contributor,Non-binary,27,2024-04-18,438,27200.0,EMP02612,True,Active
EMP00089,Sales,Brazil,Individual Contributor,Female,27,2020-09-06,1758,28700.0,EMP01011,False,Active
EMP00090,Engineering,Germany,Individual Contributor,Male,22,2023-09-02,667,54000.0,EMP01435,True,Active
EMP00091,Sales,UAE,Senior IC,Female,21,2024-06-05,390,67600.0,EMP00418,False,Active
EMP00092,Customer Support,Germany,Senior IC,Male,25,2021-11-06,1332,68000.0,EMP02146,False,Active
EMP00093,Engineering,UAE,Manager,Male,31,2021-10-14,1355,86800.0,EMP02804,True,Active
EMP00094,Engineering,USA,Team Lead,Female,27,2021-07-14,1447,102000.0,EMP01683,False,Active
EMP00095,Engineering,USA,Team Lead,Male,25,2021-03-22,1561,87800.0,EMP01094,False,Active
EMP00096,Customer Support,Canada,Individual Contributor,Female,25,2021-12-21,1287,52600.0,EMP01168,False,Active
EMP00097,Engineering,UAE,Senior IC,Female,30,2022-11-27,946,63000.0,EMP02263,False,Terminated
EMP00098,Sales,Canada,Individual Contributor,Male,27,2022-07-20,1076,55000.0,EMP02349,False,Active
EMP00099,Sales,Canada,Individual Contributor,Female,27,2020-08-21,1774,44700.0,EMP01663,True,Active
EMP00100,Operations,Germany,Individual Contributor,Male,27,2022-01-23,1254,47000.0,EMP00884,False,Active
EMP00101,Operations,Germany,Individual Contributor,Male,35,2023-07-06,725,53800.0,EMP01424,True,Active
EMP00102,Customer Support,USA,Individual Contributor,Male,31,2023-11-28,580,50200.0,EMP01149,True,Active
EMP00103,Sales,India,Senior IC,Male,33,2022-07-27,1069,36100.0,EMP00364,False,Active
EMP00104,Operations,USA,Individual Contributor,Male,24,2018-12-08,2396,62000.0,EMP01410,False,Active
EMP00105,Customer Support,Canada,Individual Contributor,Female,28,2021-03-06,1577,41100.0,EMP02973,False,Active
EMP00106,Customer Support,USA,Individual Contributor,Female,29,2018-09-16,2479,57000.0,EMP02136,True,Active
EMP00107,Engineering,USA,Senior IC,Female,29,2023-04-07,815,82000.0,EMP00495,False,Active
EMP00108,Sales,USA,Senior IC,Male,32,2022-03-29,1189,74600.0,EMP02986,True,Active
EMP00109,Sales,USA,Individual Contributor,Male,29,2021-11-22,1316,51100.0,EMP00762,False,Active
EMP00110,Operations,USA,Individual Contributor,Male,26,2020-06-27,1829,54000.0,EMP02136,True,Active
EMP00111,Engineering,India,Senior Manager,Female,24,2023-04-06,816,60500.0,EMP01979,False,Active
EMP00112,Sales,Germany,Senior IC,Female,31,2021-03-09,1574,68600.0,EMP02533,False,Active
EMP00113,Engineering,India,Team Lead,Male,34,2019-03-06,2308,42000.0,EMP02664,False,Active
EMP00114,Engineering,Canada,Senior IC,Female,28,2022-10-20,984,62300.0,EMP01023,False,Active
EMP00115,Sales,India,Manager,Male,26,2024-01-25,522,54200.0,EMP02707,False,Active
EMP00116,Operations,Brazil,Manager,Female,31,2019-01-14,2359,64200.0,EMP02034,False,Active
EMP00117,Customer Support,Germany,Individual Contributor,Female,30,2020-12-01,1672,51700.0,EMP01229,False,Terminated
EMP00118,Customer Support,USA,Team Lead,Male,28,2024-08-20,314,99300.0,EMP00383,False,Active
EMP00119,Engineering,Germany,Individual Contributor,Male,30,2022-10-03,1001,56800.0,EMP01984,True,Active
EMP00120,Customer Support,Canada,Senior IC,Male,33,2016-08-29,3227,61900.0,EMP01596,True,Active
EMP00121,Customer Support,India,Individual Contributor,Male,28,2021-06-01,1490,27000.0,EMP01624,True,Active
EMP00122,Customer Support,USA,Individual Contributor,Female,27,2022-07-28,1068,53300.0,EMP02399,True,Active
EMP00123,Sales,India,Senior Manager,Male,23,2024-03-18,469,57200.0,EMP02465,False,Active
EMP00124,Engineering,UAE,Manager,Male,23,2024-03-19,468,92800.0,EMP00632,True,Active
EMP00125,Sales,Brazil,Individual Contributor,Male,31,2020-09-09,1755,26400.0,EMP01043,True,Active
EMP00126,Engineering,India,Director,Male,23,2024-02-12,504,85700.0,,True,Active
EMP00127,Engineering,Canada,Individual Contributor,Female,31,2021-11-15,1323,42000.0,EMP02060,False,Active
EMP00128,Sales,Brazil,Senior IC,Female,27,2022-10-22,982,39500.0,EMP01441,False,Active
EMP00129,Sales,India,Manager,Male,31,2022-01-08,1269,45700.0,EMP03392,False,Active
EMP00130,Customer Support,USA,Individual Contributor,Male,30,2022-12-21,922,58200.0,EMP02348,False,Active
EMP00131,Sales,USA,Senior IC,Female,32,2021-07-17,1444,72400.0,EMP02977,True,Active
EMP00132,Operations,Canada,Team Lead,Female,28,2020-02-13,1964,74900.0,EMP01621,False,Active
EMP00133,Customer Support,India,Individual Contributor,Non-binary,29,2022-12-10,933,28800.0,EMP00596,True,Active
EMP00134,Engineering,Germany,Senior IC,Male,33,2020-06-03,1853,66500.0,EMP02551,False,Active
EMP00135,Customer Support,India,Individual Contributor,Male,25,2018-07-09,2548,26600.0,EMP02847,True,Active
EMP00136,Sales,USA,Team Lead,Female,35,2021-11-23,1315,88300.0,EMP02027,False,Active
EMP00137,Operations,UAE,Individual Contributor,Male,38,2020-10-09,1725,47500.0,EMP01492,False,Terminated
EMP00138,Engineering,USA,Individual Contributor,Male,29,2024-06-04,391,59800.0,EMP00457,False,Active
EMP00139,Customer Support,UAE,Team Lead,Male,30,2022-11-26,947,79100.0,EMP00879,False,Terminated
EMP00140,Sales,India,Individual Contributor,Female,28,2024-09-22,281,25400.0,EMP03237,False,Active
EMP00141,Engineering,USA,Senior IC,Male,25,2023-07-18,713,82000.0,EMP00607,True,Active
EMP00142,Engineering,USA,Team Lead,Male,27,2022-11-17,956,83100.0,EMP02287,False,Active
EMP00143,Operations,UAE,Team Lead,Male,38,2016-03-06,3403,69700.0,EMP02301,False,Terminated
EMP00144,Engineering,USA,Individual Contributor,Non-binary,22,2023-11-21,587,54600.0,EMP01630,True,Active
EMP00145,Engineering,USA,Manager,Male,23,2022-09-01,1033,118400.0,EMP03496,True,Active
EMP00146,Sales,Brazil,Team Lead,Female,24,2024-02-11,505,42400.0,EMP02365,True,Active
EMP00147,Engineering,Germany,Individual Contributor,Male,30,2023-01-14,898,54000.0,EMP03370,False,Active
EMP00148,Engineering,Germany,Team Lead,Male,25,2021-07-01,1460,81500.0,EMP00930,False,Active
EMP00149,Engineering,USA,Team Lead,Female,28,2021-01-21,1621,86600.0,EMP02589,False,Active
EMP00150,Sales,UAE,Senior IC,Female,26,2023-04-09,813,67200.0,EMP02668,True,Active
EMP00151,Operations,Germany,Senior IC,Male,22,2023-09-14,655,63900.0,EMP03223,False,Active
EMP00152,Operations,USA,Team Lead,Female,22,2017-12-07,2762,106100.0,EMP01427,True,Active
EMP00153,Sales,Germany,Director,Male,22,2023-05-24,768,155300.0,,True,Active
EMP00154,Engineering,USA,Senior IC,Female,26,2025-02-03,147,75600.0,EMP02807,False,Active
EMP00155,Sales,Germany,Manager,Female,33,2019-02-26,2316,112100.0,EMP02499,False,Active
EMP00156,Customer Support,USA,Team Lead,Female,27,2024-12-25,187,91000.0,EMP00979,False,Terminated
EMP00157,Sales,USA,Manager,Male,33,2019-02-23,2319,119600.0,EMP01059,False,Active
EMP00158,Customer Support,Germany,Senior Manager,Male,23,2024-09-16,287,104500.0,EMP02748,True,Terminated
EMP00159,Customer Support,UAE,Individual Contributor,Female,22,2024-07-22,343,44000.0,EMP01986,True,Active
EMP00160,Customer Support,USA,Individual Contributor,Male,27,2024-04-29,427,57000.0,EMP03176,True,Terminated
EMP00161,Sales,USA,Senior IC,Female,26,2023-07-08,723,81200.0,EMP02210,True,Active
EMP00162,Operations,Canada,Senior IC,Male,35,2019-02-09,2333,69000.0,EMP03438,False,Active
EMP00163,Sales,Canada,Senior IC,Non-binary,27,2024-04-17,439,68500.0,EMP01149,False,Active
EMP00164,Sales,Brazil,Team Lead,Male,34,2021-07-04,1457,50800.0,EMP02703,False,Active
EMP00165,Engineering,USA,Senior Manager,Female,26,2022-01-29,1248,140900.0,EMP00667,False,Active
EMP00166,Engineering,Germany,Individual Contributor,Male,32,2022-06-24,1102,41800.0,EMP02445,True,Active
EMP00167,Operations,USA,Team Lead,Female,38,2019-11-10,2059,100000.0,EMP01441,True,Active
EMP00168,Customer Support,USA,Individual Contributor,Female,28,2022-04-20,1167,51500.0,EMP01811,False,Active
EMP00169,Engineering,Germany,Senior IC,Female,30,2022-02-15,1231,70000.0,EMP02820,False,Active
EMP00170,Operations,India,Individual Contributor,Female,25,2020-10-19,1715,26800.0,EMP00394,False,Active
EMP00171,Sales,Germany,Senior IC,Female,30,2023-06-19,742,68500.0,EMP00791,False,Active
EMP00172,Engineering,India,Senior IC,Male,32,2022-08-24,1041,32600.0,EMP01946,False,Active
EMP00173,Sales,Germany,Team Lead,Female,26,2021-11-24,1314,69200.0,EMP01435,False,Active
EMP00174,Operations,Germany,Senior IC,Male,32,2020-03-18,1930,62800.0,EMP01963,False,Active
EMP00175,Sales,UAE,Individual Contributor,Male,28,2022-11-27,946,48600.0,EMP01487,False,Active
EMP00176,Sales,UAE,Individual Contributor,Male,29,2022-09-07,1027,40300.0,EMP00240,False,Active
EMP00177,Engineering,Germany,Individual Contributor,Male,32,2021-07-27,1434,46900.0,EMP03277,False,Active
EMP00178,Operations,India,Director,Male,29,2022-11-14,959,85300.0,,False,Active
EMP00179,Operations,USA,Senior Manager,Female,26,2023-11-10,598,124500.0,EMP02120,True,Active
EMP00180,Customer Support,USA,Individual Contributor,Female,33,2020-10-21,1713,52800.0,EMP00552,False,Active
EMP00181,Operations,Brazil,Individual Contributor,Male,32,2022-04-15,1172,29000.0,EMP00684,False,Active
EMP00182,Operations,USA,Senior IC,Male,24,2023-05-07,785,76400.0,EMP02064,False,Active
EMP00183,Engineering,Germany,Team Lead,Male,26,2024-04-29,427,75000.0,EMP00178,False,Active
EMP00184,Engineering,India,Individual Contributor,Male,21,2024-12-20,192,26700.0,EMP01630,False,Active
EMP00185,Customer Support,USA,Individual Contributor,Male,31,2021-06-06,1485,57000.0,EMP03104,False,Active
EMP00186,Customer Support,USA,Individual Contributor,Male,31,2023-11-21,587,49600.0,EMP03068,True,Active
EMP00187,Engineering,Germany,Individual Contributor,,24,2024-10-03,270,51300.0,EMP01792,False,Terminated
EMP00188,Sales,Canada,Individual Contributor,Male,26,2024-01-15,532,45200.0,EMP00827,False,Active
EMP00189,Customer Support,India,Individual Contributor,Male,27,2021-11-29,1309,26700.0,EMP00269,True,Active
EMP00190,Sales,Germany,Senior IC,Non-binary,25,2023-11-26,582,72200.0,EMP00612,False,Active
EMP00191,Operations,USA,Senior IC,Male,29,2021-11-10,1328,73700.0,EMP00990,False,Active
EMP00192,Sales,India,Individual Contributor,Male,23,2023-08-16,684,28300.0,EMP01919,True,Active
EMP00193,Sales,USA,Senior IC,Female,26,2022-08-29,1036,79500.0,EMP02533,True,Active
EMP00194,Operations,India,Senior IC,Female,24,2022-06-25,1101,38300.0,EMP01573,True,Active
EMP00195,Sales,Brazil,Team Lead,Male,31,2020-12-21,1652,48300.0,EMP02894,False,Active
EMP00196,Sales,Germany,Senior Manager,Female,30,2020-11-16,1687,134800.0,EMP00592,True,Active
EMP00197,Customer Support,Germany,Individual Contributor,Male,26,2022-08-04,1061,52000.0,EMP01461,True,Active
EMP00198,Operations,USA,Manager,Male,26,2024-02-28,488,94700.0,EMP02132,False,Active
EMP00199,Sales,USA,Team Lead,Male,30,2019-06-17,2205,84000.0,EMP00183,False,Active
EMP00200,Engineering,Germany,Team Lead,Male,31,2023-05-19,773,80500.0,EMP03173,False,Active
EMP00201,Customer Support,Canada,Individual Contributor,Male,23,2025-03-31,91,47700.0,EMP03493,False,Active
EMP00202,Operations,USA,Individual Contributor,Female,31,2022-01-01,1276,56800.0,EMP02586,False,Active
EMP00203,Engineering,India,Individual Contributor,Female,25,2021-11-26,1312,24700.0,EMP02442,False,Active
EMP00204,Sales,Brazil,Director,Male,30,2023-04-25,797,104500.0,,False,Active
EMP00205,Sales,USA,Senior IC,Female,29,2024-09-15,288,74100.0,EMP00644,False,Active
EMP00206,Sales,USA,Individual Contributor,Male,29,2024-11-09,233,55200.0,EMP00841,False,Active
EMP00207,Sales,Germany,Senior IC,Non-binary,33,2023-03-11,842,64600.0,EMP00499,True,Active
EMP00208,Customer Support,Brazil,Individual Contributor,Male,27,2024-04-07,449,26500.0,EMP01940,False,Active
EMP00209,Sales,Germany,Individual Contributor,Male,35,2020-03-22,1926,49900.0,EMP03341,False,Active
EMP00210,Engineering,Brazil,Senior IC,Male,33,2023-04-04,818,39100.0,EMP02367,True,Active
EMP00211,Customer Support,UAE,Senior IC,Male,22,2023-06-17,744,61300.0,EMP03087,True,Active
EMP00212,Customer Support,Brazil,Team Lead,,31,2016-10-15,3180,53000.0,EMP03420,False,Active
EMP00213,Sales,Canada,Senior IC,,21,2025-03-12,110,64300.0,EMP02298,False,Active
EMP00214,Customer Support,Brazil,Senior IC,Female,32,2022-09-05,1029,38700.0,EMP00386,True,Active
EMP00215,Customer Support,UAE,Manager,Male,21,2024-12-14,198,96100.0,EMP03255,False,Active
EMP00216,Customer Support,UAE,Individual Contributor,Female,24,2019-01-19,2354,45000.0,EMP01892,True,Active
EMP00217,Sales,Brazil,Team Lead,Male,21,2024-10-08,265,48800.0,EMP01902,False,Active
EMP00218,Sales,UAE,Team Lead,Male,21,2021-10-21,1348,66500.0,EMP03461,False,Active
EMP00219,Operations,Canada,Individual Contributor,,29,2022-02-27,1219,43100.0,EMP02384,False,Active
EMP00220,Engineering,India,Individual Contributor,Male,21,2024-12-18,194,26700.0,EMP00411,False,Active
EMP00221,Engineering,India,Individual Contributor,Female,21,2021-10-14,1355,25900.0,EMP02662,False,Active
EMP00222,Engineering,India,Individual Contributor,Female,26,2023-08-18,682,24700.0,EMP03392,False,Active
EMP00223,Customer Support,UAE,Senior IC,Female,29,2021-04-14,1538,62400.0,EMP00839,False,Active
EMP00224,Operations,Germany,Individual Contributor,Female,21,2023-09-22,647,51200.0,EMP01593,False,Active
EMP00225,Sales,UAE,Senior IC,Non-binary,25,2021-10-10,1359,58200.0,EMP00378,True,Active
EMP00226,Operations,UAE,Individual Contributor,Non-binary,27,2022-11-17,956,43700.0,EMP02492,True,Active
EMP00227,Sales,Canada,Individual Contributor,Male,27,2021-10-13,1356,48800.0,EMP00527,False,Active
EMP00228,Engineering,USA,Individual Contributor,Male,27,2021-05-03,1519,50700.0,EMP01472,True,Active
EMP00229,Customer Support,Brazil,Individual Contributor,Male,32,2023-01-31,881,27400.0,EMP02264,False,Active
EMP00230,Sales,Brazil,Director,Male,35,2023-05-16,776,93800.0,,True,Active
EMP00231,Sales,Canada,Individual Contributor,Male,27,2021-05-31,1491,47900.0,EMP01114,True,Active
EMP00232,Engineering,Canada,Individual Contributor,Female,21,2023-08-10,690,46200.0,EMP03180,True,Active
EMP00233,Operations,India,Individual Contributor,Male,26,2023-01-17,895,24500.0,EMP00083,True,Active
EMP00234,Customer Support,India,Individual Contributor,Non-binary,33,2018-03-27,2652,24300.0,EMP00605,True,Active
EMP00235,Operations,USA,Senior IC,Female,27,2022-08-28,1037,74000.0,EMP00440,False,Active
EMP00236,Customer Support,Canada,Team Lead,Male,32,2020-11-15,1688,90600.0,EMP02611,True,Active
EMP00237,Engineering,USA,Individual Contributor,Female,35,2023-10-29,610,57700.0,EMP01265,False,Active
EMP00238,Customer Support,Brazil,Senior IC,Female,21,2021-10-23,1346,34800.0,EMP00078,False,Active
EMP00239,Sales,UAE,Senior IC,Male,25,2022-12-31,912,65200.0,EMP02745,False,Active
EMP00240,Sales,India,Manager,Female,33,2023-04-30,792,49100.0,EMP00984,False,Active
EMP00241,Operations,USA,Senior IC,Male,23,2025-01-03,178,74700.0,EMP02374,True,Active
EMP00242,Customer Support,USA,Individual Contributor,Male,29,2024-04-02,454,52600.0,EMP01922,True,Active
EMP00243,Sales,UAE,Team Lead,Female,27,2025-01-28,153,86100.0,EMP00412,False,Active
EMP00244,Engineering,India,Manager,Male,39,2016-06-05,3312,47500.0,EMP02091,False,Active
EMP00245,Customer Support,USA,Senior IC,Male,35,2022-11-26,947,76600.0,EMP03027,True,Active
EMP00246,Operations,Brazil,Director,Male,29,2022-08-23,1042,85100.0,,False,Active
EMP00247,Customer Support,USA,Manager,,23,2020-04-25,1892,115700.0,EMP02913,True,Terminated
EMP00248,Engineering,UAE,Individual Contributor,Male,25,2022-01-18,1259,46700.0,EMP00975,True,Active
EMP00249,Engineering,Germany,Team Lead,Female,35,2023-05-05,787,90100.0,EMP01000,True,Active
EMP00250,Engineering,USA,Senior IC,Female,21,2023-04-28,794,79000.0,EMP00613,False,Active
EMP00251,Customer Support,USA,Senior IC,Female,28,2024-05-03,423,70600.0,EMP00753,False,Active
EMP00252,Operations,India,Senior IC,Female,21,2021-08-07,1423,44100.0,EMP00852,False,Active
EMP00253,Engineering,India,Manager,Male,23,2021-07-03,1458,54600.0,EMP02263,True,Active
EMP00254,Sales,Brazil,Senior IC,,31,2022-08-14,1051,37300.0,EMP00486,True,Active
EMP00255,Sales,India,Senior IC,Male,27,2022-12-14,929,36300.0,EMP01889,True,Active
EMP00256,Customer Support,Germany,Individual Contributor,Male,27,2021-06-24,1467,52900.0,EMP00943,False,Active
EMP00257,Customer Support,USA,Senior IC,Male,22,2024-05-11,415,78300.0,EMP00544,False,Active
EMP00258,Sales,USA,Manager,Male,21,2021-12-02,1306,113600.0,EMP02877,False,Active
EMP00259,Sales,Canada,Team Lead,Male,35,2017-12-23,2746,84000.0,EMP01874,True,Active
EMP00260,Customer Support,USA,Individual Contributor,,25,2023-10-15,624,59000.0,EMP01009,True,Active
EMP00261,Sales,Canada,Manager,Female,21,2023-02-17,864,88600.0,EMP02228,True,Active
EMP00262,Operations,Germany,Manager,Male,31,2019-03-25,2289,116600.0,EMP03178,False,Active
EMP00263,Engineering,USA,Senior IC,Female,30,2022-08-12,1053,86500.0,EMP00994,False,Active
EMP00264,Sales,USA,Individual Contributor,Male,29,2020-08-18,1777,58700.0,EMP00879,False,Active
EMP00265,Operations,USA,Senior IC,Male,29,2021-10-10,1359,75000.0,EMP02374,False,Active
EMP00266,Sales,UAE,Individual Contributor,Female,29,2021-07-23,1438,45800.0,EMP01721,False,Active
EMP00267,Sales,India,Individual Contributor,Female,23,2023-11-12,596,25700.0,EMP02354,False,Active
EMP00268,Sales,Germany,Senior IC,Female,26,2023-11-27,581,67200.0,EMP00606,False,Active
EMP00269,Sales,Brazil,Senior Manager,Male,32,2021-01-20,1622,58400.0,EMP03261,False,Active
EMP00270,Sales,India,Individual Contributor,Male,29,2024-08-21,313,29600.0,EMP00068,True,Terminated
