enrollment_id,employee_id,program_id,enrollment_date,completion_status,completion_pct,completion_date,assessment_score,participant_satisfaction_1to5
ENR000028,EMP00005,PRG017,2023-10-07,Completed,94.7,2023-12-09,96.6,4.9
ENR000029,EMP00006,PRG013,2025-04-06,Completed,98.3,2025-05-13,78.6,4.8
ENR000030,EMP00006,PRG014,2024-04-01,Completed,94.3,2024-05-12,95.4,4.9
ENR000031,EMP00006,PRG015,2023-02-04,Completed,100.0,2023-03-10,67.5,3.8
ENR000032,EMP00006,PRG016,2024-02-28,Completed,95.0,2024-05-05,85.7,3.2
ENR000033,EMP00006,PRG017,2023-01-18,Dropped,12.6,,,
ENR000034,EMP00007,PRG013,2024-11-12,Completed,95.5,2025-01-22,74.9,5.0
ENR000035,EMP00007,PRG014,2024-02-01,Completed,98.4,2024-03-23,90.3,4.9
ENR000036,EMP00007,PRG015,2023-08-06,Completed,97.7,2023-09-09,74.3,5.0
ENR000037,EMP00007,PRG016,2024-12-20,In Progress,53.1,,,
ENR000038,EMP00007,PRG017,2024-08-25,In Progress,90.6,,,
ENR000039,EMP00007,PRG009,2023-11-23,Completed,96.0,2023-12-10,72.0,4.2
ENR000040,EMP00007,PRG010,2023-03-02,Completed,100.0,2023-04-10,89.5,3.4
ENR000041,EMP00008,PRG013,2024-07-01,Completed,98.4,2024-08-03,84.7,4.7
ENR000042,EMP00008,PRG014,2023-01-26,Completed,90.2,2023-02-08,75.3,3.9
ENR000043,EMP00008,PRG015,2025-04-02,Completed,89.3,2025-05-30,81.3,3.7
ENR000044,EMP00008,PRG016,2024-02-06,Completed,100.0,2024-03-19,83.3,4.9
ENR000045,EMP00008,PRG017,2025-01-08,Completed,96.4,2025-02-03,82.3,3.7
ENR000046,EMP00009,PRG013,2024-07-01,Completed,96.8,2024-08-31,80.1,4.2
ENR000047,EMP00009,PRG014,2023-02-23,In Progress,13.5,,,
ENR000048,EMP00009,PRG015,2023-11-01,Completed,100.0,2024-01-12,70.4,4.3
ENR000049,EMP00009,PRG016,2023-07-17,Completed,89.9,2023-08-28,88.6,4.1
ENR000050,EMP00009,PRG017,2024-08-27,Dropped,21.9,,,1.1
ENR000051,EMP00009,PRG020,2023-12-31,Completed,97.5,2024-02-22,88.2,3.5
ENR000052,EMP00010,PRG013,2023-09-24,Completed,96.5,2023-11-13,92.7,2.9
ENR000053,EMP00010,PRG014,2023-09-14,Completed,94.7,2023-09-24,92.5,4.4
ENR000054,EMP00010,PRG015,2023-09-02,Completed,97.5,2023-09-28,91.0,5.0
ENR000055,EMP00010,PRG016,2023-08-24,Completed,94.2,2023-10-25,93.2,3.0
ENR000056,EMP00010,PRG011,2023-02-13,Completed,95.8,2023-03-29,95.7,3.3
ENR000057,EMP00011,PRG013,2024-12-25,Completed,95.8,2024-12-29,80.9,3.5
ENR000058,EMP00011,PRG014,2025-03-07,In Progress,66.2,,,
ENR000059,EMP00011,PRG015,2023-04-08,Completed,96.4,2023-06-06,89.5,4.3
ENR000060,EMP00011,PRG016,2024-07-23,Dropped,0.0,,,2.1
ENR000061,EMP00011,PRG017,2024-03-29,Completed,91.7,2024-05-13,86.1,4.1
ENR000062,EMP00012,PRG013,2024-05-19,Completed,100.0,2024-06-16,71.2,3.1
ENR000063,EMP00012,PRG014,2024-10-21,Completed,95.7,2024-12-23,86.6,4.0
ENR000064,EMP00012,PRG015,2023-08-12,Completed,100.0,2023-10-19,96.0,5.0
ENR000065,EMP00012,PRG016,2024-11-29,Completed,100.0,2025-01-02,82.0,3.6
ENR000066,EMP00012,PRG017,2025-02-08,Completed,97.5,2025-03-04,76.8,4.0
ENR000067,EMP00012,PRG005,2023-05-06,Completed,99.8,2023-05-19,79.4,3.8
ENR000068,EMP00012,PRG003,2025-04-16,Completed,96.3,2025-05-05,80.3,4.3
ENR000069,EMP00013,PRG013,2024-08-02,Completed,98.8,2024-08-28,78.7,4.6
ENR000070,EMP00013,PRG014,2024-09-22,Completed,96.8,2024-10-22,92.7,5.0
ENR000071,EMP00013,PRG015,2025-01-22,Completed,100.0,2025-03-03,76.8,5.0
ENR000072,EMP00013,PRG016,2024-09-25,Completed,92.5,2024-10-14,100.0,3.4
ENR000073,EMP00013,PRG017,2023-07-06,In Progress,43.9,,,
ENR000074,EMP00013,PRG010,2023-11-18,Completed,94.8,2024-01-29,100.0,4.0
ENR000075,EMP00014,PRG013,2023-12-23,Completed,100.0,2024-01-23,79.9,5.0
ENR000076,EMP00014,PRG015,2024-03-29,Completed,95.9,2024-05-30,71.9,3.2
ENR000077,EMP00014,PRG016,2024-03-28,Completed,100.0,2024-03-31,93.7,3.9
ENR000078,EMP00014,PRG017,2024-11-26,Dropped,22.4,,,4.4
ENR000079,EMP00014,PRG003,2023-09-28,In Progress,29.7,,,
ENR000080,EMP00014,PRG021,2024-01-13,Completed,91.9,2024-03-17,92.3,4.2
ENR000081,EMP00015,PRG013,2024-05-29,Completed,94.5,2024-08-04,85.7,4.1
ENR000082,EMP00015,PRG014,2024-11-12,Completed,97.4,2025-01-05,95.6,4.2
ENR000083,EMP00015,PRG015,2023-11-26,Completed,100.0,2024-01-15,76.6,3.6
ENR000084,EMP00015,PRG017,2023-07-22,Completed,94.7,2023-09-11,87.7,3.5
ENR000085,EMP00016,PRG013,2025-03-11,Completed,96.4,2025-05-07,82.0,5.0
ENR000086,EMP00016,PRG014,2024-10-16,Completed,96.2,2024-10-31,79.6,3.5
ENR000087,EMP00016,PRG015,2024-06-22,Completed,98.3,2024-07-31,100.0,3.4
ENR000088,EMP00016,PRG016,2024-11-10,Completed,100.0,2024-12-26,86.7,5.0
ENR000089,EMP00016,PRG017,2023-10-28,Completed,97.1,2024-01-10,91.0,5.0
ENR000090,EMP00016,PRG018,2023-07-08,Completed,93.9,2023-08-10,63.0,4.7
ENR000091,EMP00016,PRG007,2023-12-09,Completed,94.2,2023-12-12,85.3,4.4
ENR000092,EMP00016,PRG003,2023-09-21,Completed,98.7,2023-11-26,85.1,3.3
ENR000093,EMP00016,PRG026,2024-08-26,Completed,89.0,2024-09-26,63.5,4.0
ENR000094,EMP00017,PRG013,2023-05-29,Completed,91.5,2023-08-07,73.7,3.6
ENR000095,EMP00017,PRG014,2024-08-08,Dropped,0.0,,,1.6
ENR000096,EMP00017,PRG015,2023-03-30,Completed,100.0,2023-05-06,84.7,4.2
ENR000097,EMP00017,PRG016,2025-01-27,Completed,100.0,2025-02-07,77.6,3.2
ENR000098,EMP00017,PRG017,2023-07-03,Completed,100.0,2023-07-07,84.7,3.3
ENR000099,EMP00017,PRG020,2023-10-14,Completed,97.0,2023-12-15,85.7,3.7
ENR000100,EMP00018,PRG013,2024-10-02,Completed,92.8,2024-11-06,76.7,4.7
ENR000101,EMP00018,PRG014,2023-03-26,Completed,97.4,2023-04-07,74.1,2.9
ENR000102,EMP00018,PRG015,2023-09-23,Completed,98.0,2023-11-09,69.9,4.6
ENR000103,EMP00018,PRG016,2024-12-10,Completed,100.0,2025-02-02,70.9,3.1
ENR000104,EMP00018,PRG017,2023-11-30,In Progress,69.4,,,
ENR000105,EMP00018,PRG025,2024-02-24,Completed,100.0,2024-04-12,92.4,3.9
ENR000106,EMP00019,PRG013,2025-03-07,Completed,100.0,2025-04-17,68.7,3.3
ENR000107,EMP00019,PRG014,2023-12-16,Completed,95.3,2024-01-31,91.9,4.7
ENR000108,EMP00019,PRG015,2025-03-22,Completed,94.8,2025-04-04,84.4,3.6
ENR000109,EMP00019,PRG016,2023-04-17,Completed,99.8,2023-06-10,79.5,4.9
ENR000110,EMP00019,PRG017,2023-01-07,Dropped,0.0,,,3.5
ENR000111,EMP00019,PRG007,2024-12-21,Dropped,13.6,,,
ENR000112,EMP00020,PRG013,2023-05-24,In Progress,65.5,,,
ENR000113,EMP00020,PRG014,2024-09-05,In Progress,78.3,,,
ENR000114,EMP00020,PRG016,2024-05-19,Completed,98.4,2024-05-25,84.3,3.9
ENR000115,EMP00020,PRG017,2024-01-15,Completed,93.4,2024-02-08,83.6,3.9
ENR000116,EMP00020,PRG025,2023-12-20,In Progress,37.6,,,
ENR000117,EMP00020,PRG023,2025-01-12,Completed,94.0,2025-02-21,69.0,4.1
ENR000118,EMP00021,PRG013,2024-11-23,Completed,92.9,2024-12-06,78.7,4.4
ENR000119,EMP00021,PRG014,2024-05-17,Completed,95.1,2024-06-30,80.3,3.9
ENR000120,EMP00021,PRG015,2023-10-27,Completed,97.4,2023-11-09,99.5,3.9
ENR000121,EMP00021,PRG016,2023-02-23,Dropped,15.4,,,
ENR000122,EMP00021,PRG017,2024-07-08,Completed,99.1,2024-08-31,79.0,4.0
ENR000123,EMP00021,PRG003,2025-01-16,Completed,92.6,2025-02-27,71.3,3.5
ENR000124,EMP00022,PRG013,2023-01-03,Completed,100.0,2023-02-06,100.0,3.7
ENR000125,EMP00022,PRG014,2024-11-28,Completed,98.1,2024-12-28,66.1,4.0
ENR000126,EMP00022,PRG015,2023-06-13,Completed,90.1,2023-08-04,82.9,4.9
ENR000127,EMP00022,PRG016,2024-05-26,Completed,98.6,2024-06-01,91.3,4.0
ENR000128,EMP00022,PRG017,2025-01-23,Completed,94.2,2025-03-29,75.7,5.0
ENR000129,EMP00022,PRG024,2025-04-02,Completed,97.2,2025-05-07,86.8,3.6
ENR000130,EMP00022,PRG008,2023-07-17,In Progress,45.9,,,
ENR000131,EMP00022,PRG002,2024-01-30,In Progress,32.7,,,
ENR000132,EMP00023,PRG013,2023-11-19,Completed,93.4,2023-12-22,80.1,5.0
ENR000133,EMP00023,PRG014,2023-04-21,Completed,100.0,2023-05-12,95.8,4.1
ENR000134,EMP00023,PRG015,2024-06-01,Dropped,14.0,,,2.4
ENR000135,EMP00023,PRG016,2023-03-10,In Progress,59.1,,,
ENR000136,EMP00023,PRG003,2025-03-16,Completed,95.3,2025-04-20,79.2,4.4
ENR000137,EMP00024,PRG013,2023-04-28,Completed,98.0,2023-06-24,86.8,4.3
ENR000138,EMP00024,PRG014,2024-01-23,Completed,93.0,2024-02-20,86.8,4.4
ENR000139,EMP00024,PRG015,2024-08-17,Completed,96.8,2024-09-17,77.5,3.5
ENR000140,EMP00024,PRG016,2023-03-17,Completed,98.4,2023-05-03,78.8,3.7
ENR000141,EMP00024,PRG017,2024-02-04,Completed,100.0,2024-03-23,80.9,4.0
ENR000142,EMP00024,PRG007,2023-07-11,Completed,90.3,2023-09-22,77.7,3.9
ENR000143,EMP00024,PRG023,2023-09-05,Completed,95.1,2023-09-22,87.7,3.8
ENR000144,EMP00024,PRG002,2024-11-03,Completed,99.4,2024-12-18,76.6,3.3
ENR000145,EMP00024,PRG003,2023-03-03,Completed,99.0,2023-03-12,82.3,3.7
ENR000146,EMP00025,PRG013,2023-05-28,Completed,100.0,2023-07-04,65.3,3.2
ENR000147,EMP00025,PRG014,2024-02-08,Completed,90.1,2024-02-28,77.6,3.1
ENR000148,EMP00025,PRG015,2023-03-04,Completed,98.1,2023-05-03,77.7,3.9
ENR000149,EMP00025,PRG016,2024-10-27,Completed,100.0,2024-12-29,84.4,4.6
ENR000150,EMP00025,PRG017,2023-03-25,In Progress,32.0,,,
ENR000151,EMP00025,PRG005,2025-04-09,Completed,97.4,2025-04-28,81.6,3.7
ENR000152,EMP00026,PRG013,2023-04-18,Completed,100.0,2023-05-20,81.9,4.3
ENR000153,EMP00026,PRG014,2023-05-31,Completed,92.6,2023-06-12,75.3,4.5
ENR000154,EMP00026,PRG015,2023-10-10,Completed,100.0,2023-11-12,86.9,3.5
ENR000155,EMP00026,PRG016,2023-07-20,Completed,95.7,2023-07-23,69.9,4.5
ENR000156,EMP00026,PRG017,2023-02-17,Completed,91.7,2023-04-23,81.3,3.8
ENR000157,EMP00026,PRG004,2024-09-22,Completed,91.0,2024-10-21,61.1,3.1
ENR000158,EMP00026,PRG023,2024-10-18,Completed,95.8,2024-10-23,67.2,4.0
ENR000159,EMP00026,PRG020,2023-10-30,Completed,96.9,2023-11-06,74.5,3.4
ENR000160,EMP00027,PRG013,2024-12-07,Completed,98.6,2024-12-12,86.4,3.9
ENR000161,EMP00027,PRG014,2024-12-15,Completed,93.5,2025-02-06,95.5,4.3
ENR000162,EMP00027,PRG015,2023-10-08,Completed,96.6,2023-12-02,84.5,4.0
ENR000163,EMP00027,PRG016,2023-07-04,Completed,96.8,2023-08-20,80.6,3.8
ENR000164,EMP00027,PRG017,2024-02-26,Completed,99.5,2024-03-15,90.7,3.8
ENR000165,EMP00027,PRG012,2024-08-11,Dropped,55.1,,,3.5
ENR000166,EMP00027,PRG021,2024-05-11,Completed,99.7,2024-07-18,90.3,4.5
ENR000167,EMP00028,PRG013,2023-06-21,Completed,95.9,2023-08-10,91.8,4.1
ENR000168,EMP00028,PRG014,2023-04-01,In Progress,32.1,,,
ENR000169,EMP00028,PRG015,2025-04-15,Completed,94.5,2025-05-11,84.3,2.9
ENR000170,EMP00028,PRG016,2024-11-08,Completed,95.2,2024-11-15,72.2,4.3
ENR000171,EMP00028,PRG017,2023-01-08,In Progress,52.2,,,
ENR000172,EMP00028,PRG004,2023-09-12,Completed,100.0,2023-11-16,80.7,3.3
ENR000173,EMP00028,PRG018,2023-02-14,Completed,98.9,2023-03-29,84.6,3.2
ENR000174,EMP00030,PRG013,2024-12-17,Dropped,14.6,,,
ENR000175,EMP00030,PRG014,2024-11-08,Completed,96.7,2024-12-26,85.0,3.4
ENR000176,EMP00030,PRG015,2024-06-28,Completed,98.6,2024-07-16,83.7,3.7
ENR000177,EMP00030,PRG016,2024-08-06,Completed,96.5,2024-10-11,95.8,5.0
ENR000178,EMP00030,PRG017,2024-06-02,Completed,100.0,2024-08-09,60.4,5.0
ENR000179,EMP00031,PRG013,2023-03-23,Completed,100.0,2023-05-11,85.3,4.9
ENR000180,EMP00031,PRG014,2023-09-03,In Progress,36.5,,,
ENR000181,EMP00031,PRG015,2023-09-20,Completed,97.1,2023-11-15,89.4,5.0
ENR000182,EMP00031,PRG016,2023-03-29,Completed,100.0,2023-04-08,82.1,4.8
ENR000183,EMP00032,PRG013,2024-07-12,Completed,98.3,2024-07-17,86.9,4.9
ENR000184,EMP00032,PRG014,2023-05-26,In Progress,56.5,,,
ENR000185,EMP00032,PRG015,2023-01-18,Completed,97.4,2023-03-12,78.2,4.2
ENR000186,EMP00032,PRG016,2024-08-01,Completed,90.2,2024-08-07,79.0,3.7
ENR000187,EMP00032,PRG017,2024-08-07,Completed,94.9,2024-09-29,64.5,3.3
ENR000188,EMP00033,PRG014,2023-06-07,Completed,95.3,2023-06-28,87.1,3.7
ENR000189,EMP00033,PRG015,2023-10-31,Completed,100.0,2023-11-28,83.2,2.9
ENR000190,EMP00033,PRG016,2023-11-28,Completed,96.8,2024-01-04,87.5,3.9
ENR000191,EMP00033,PRG017,2023-02-24,Completed,95.7,2023-04-16,62.8,5.0
ENR000192,EMP00033,PRG008,2023-02-08,Completed,95.7,2023-02-17,91.2,4.6
ENR000193,EMP00034,PRG013,2024-05-21,Completed,94.9,2024-06-18,100.0,3.8
ENR000194,EMP00034,PRG014,2024-10-03,Completed,94.0,2024-11-08,89.3,3.7
ENR000195,EMP00034,PRG015,2025-03-30,Dropped,22.8,,,
ENR000196,EMP00034,PRG016,2024-10-26,Completed,94.6,2024-11-29,73.4,3.7
ENR000197,EMP00034,PRG017,2024-05-11,Completed,100.0,2024-06-11,82.8,4.0
ENR000198,EMP00034,PRG008,2024-05-24,Completed,95.0,2024-06-18,71.7,5.0
ENR000199,EMP00034,PRG010,2025-04-02,In Progress,38.6,,,
ENR000200,EMP00035,PRG013,2024-03-17,Completed,94.3,2024-05-25,71.9,3.2
ENR000201,EMP00035,PRG014,2023-02-03,Completed,93.0,2023-03-12,80.7,3.3
ENR000202,EMP00035,PRG015,2024-09-15,Completed,100.0,2024-10-11,67.3,3.1
ENR000203,EMP00035,PRG016,2023-05-02,Completed,100.0,2023-07-08,82.7,4.4
ENR000204,EMP00035,PRG012,2024-06-30,In Progress,22.0,,,
ENR000205,EMP00035,PRG008,2023-08-22,Completed,97.4,2023-09-15,73.2,4.1
ENR000206,EMP00036,PRG013,2023-05-04,Dropped,6.3,,,
ENR000207,EMP00036,PRG014,2023-04-28,Completed,92.0,2023-05-06,86.5,5.0
ENR000208,EMP00036,PRG015,2024-05-31,In Progress,49.4,,,
ENR000209,EMP00036,PRG016,2024-05-05,Completed,90.4,2024-07-16,100.0,3.1
ENR000210,EMP00036,PRG017,2024-03-23,Dropped,0.2,,,4.5
ENR000211,EMP00037,PRG013,2025-03-19,Dropped,30.1,,,2.1
ENR000212,EMP00037,PRG014,2024-10-06,Completed,100.0,2024-11-21,92.6,4.6
ENR000213,EMP00037,PRG015,2024-05-22,Dropped,56.2,,,
ENR000214,EMP00037,PRG016,2023-09-15,Completed,99.2,2023-10-05,76.5,2.1
ENR000215,EMP00037,PRG017,2025-04-22,Completed,94.5,2025-05-24,73.0,4.0
ENR000216,EMP00037,PRG002,2025-03-24,Completed,98.7,2025-05-10,91.3,3.4
ENR000217,EMP00038,PRG013,2024-09-07,Dropped,0.0,,,3.3
ENR000218,EMP00038,PRG014,2024-06-19,Completed,96.5,2024-07-09,87.8,4.2
ENR000219,EMP00038,PRG015,2024-07-16,Completed,99.6,2024-09-02,100.0,3.2
ENR000220,EMP00038,PRG016,2023-07-16,In Progress,42.7,,,
ENR000221,EMP00038,PRG017,2024-08-01,Completed,91.4,2024-08-29,92.7,4.2
ENR000222,EMP00038,PRG003,2023-06-01,Completed,97.0,2023-06-13,69.1,3.7
ENR000223,EMP00038,PRG009,2024-06-19,Completed,99.8,2024-07-16,68.0,3.8
ENR000224,EMP00038,PRG022,2024-04-30,Completed,93.9,2024-07-13,79.3,5.0
ENR000225,EMP00039,PRG013,2023-10-12,Completed,96.9,2023-12-10,76.5,4.5
ENR000226,EMP00039,PRG014,2024-10-07,In Progress,95.0,,,
ENR000227,EMP00039,PRG015,2023-05-16,Completed,100.0,2023-07-18,84.8,5.0
ENR000228,EMP00039,PRG016,2024-03-06,In Progress,16.9,,,
ENR000229,EMP00039,PRG017,2023-07-20,Dropped,11.7,,,3.3
ENR000230,EMP00040,PRG013,2024-05-09,Completed,90.3,2024-07-12,95.4,4.5
ENR000231,EMP00040,PRG014,2023-01-18,Completed,92.0,2023-02-28,78.7,3.3
ENR000232,EMP00040,PRG015,2023-01-30,In Progress,21.3,,,
ENR000233,EMP00040,PRG016,2023-07-22,Completed,100.0,2023-09-15,83.1,4.0
ENR000234,EMP00040,PRG017,2024-10-21,Completed,100.0,2024-11-18,76.9,4.4
ENR000235,EMP00040,PRG023,2023-03-15,Completed,96.7,2023-05-08,100.0,4.5
ENR000236,EMP00041,PRG013,2025-02-25,Completed,95.3,2025-03-25,85.0,3.6
ENR000237,EMP00041,PRG014,2023-09-14,Completed,97.4,2023-11-03,82.1,4.9
ENR000238,EMP00041,PRG016,2024-12-21,Completed,100.0,2025-02-20,84.7,3.9
ENR000239,EMP00041,PRG017,2025-01-03,Completed,94.8,2025-02-11,83.0,4.7
ENR000240,EMP00041,PRG008,2024-09-24,Completed,92.2,2024-12-01,81.7,4.8
ENR000241,EMP00041,PRG001,2024-06-13,Dropped,13.4,,,2.4
ENR000242,EMP00042,PRG013,2024-09-22,Completed,98.1,2024-11-29,74.1,3.9
ENR000243,EMP00042,PRG014,2024-10-17,Completed,99.6,2024-11-05,90.1,5.0
ENR000244,EMP00042,PRG015,2024-02-24,Completed,100.0,2024-05-03,85.9,4.0
ENR000245,EMP00042,PRG016,2024-03-05,Dropped,0.0,,,
ENR000246,EMP00042,PRG017,2023-04-02,Completed,98.9,2023-04-29,71.9,2.8
ENR000247,EMP00042,PRG009,2024-08-11,Completed,97.2,2024-08-17,92.6,4.5
ENR000248,EMP00043,PRG013,2023-05-01,Completed,97.1,2023-05-09,70.0,3.7
ENR000249,EMP00043,PRG014,2024-08-30,Completed,100.0,2024-10-03,82.2,3.4
ENR000250,EMP00043,PRG015,2025-02-26,Completed,95.0,2025-03-24,70.9,4.0
ENR000251,EMP00043,PRG016,2025-04-02,Completed,100.0,2025-05-11,69.5,3.5
ENR000252,EMP00043,PRG017,2025-01-21,In Progress,35.3,,,
ENR000253,EMP00044,PRG013,2024-08-08,In Progress,37.2,,,
ENR000254,EMP00044,PRG015,2024-02-01,Completed,91.7,2024-03-29,68.8,4.3
ENR000255,EMP00044,PRG016,2025-04-28,Completed,90.7,2025-05-09,75.0,3.8
ENR000256,EMP00044,PRG017,2025-04-02,Completed,96.3,2025-04-20,94.9,4.5
ENR000257,EMP00044,PRG009,2025-01-24,Completed,100.0,2025-01-28,70.0,4.1
ENR000258,EMP00044,PRG026,2024-08-29,Completed,99.7,2024-09-14,86.9,4.6
ENR000259,EMP00045,PRG014,2023-02-25,Completed,88.6,2023-03-11,66.4,4.2
ENR000260,EMP00045,PRG015,2023-07-02,Completed,98.1,2023-09-04,86.2,4.0
ENR000261,EMP00045,PRG016,2024-01-12,Completed,96.3,2024-02-05,81.2,4.7
ENR000262,EMP00045,PRG017,2023-11-14,Completed,95.7,2023-12-05,61.8,4.8
ENR000263,EMP00045,PRG011,2023-02-28,Completed,91.9,2023-04-13,62.8,3.7
ENR000264,EMP00045,PRG007,2023-08-27,Completed,99.4,2023-10-04,87.3,3.9
ENR000265,EMP00046,PRG013,2024-05-14,Completed,94.6,2024-05-25,90.8,4.9
ENR000266,EMP00046,PRG016,2024-11-04,Completed,96.8,2024-12-09,65.7,3.7
ENR000267,EMP00046,PRG017,2024-03-07,In Progress,53.0,,,
ENR000268,EMP00046,PRG001,2024-10-25,Completed,98.1,2024-12-23,92.5,4.8
ENR000269,EMP00046,PRG010,2025-03-02,Completed,97.0,2025-04-08,79.6,4.2
ENR000270,EMP00047,PRG013,2023-09-18,Completed,98.7,2023-10-20,74.4,3.1
ENR000271,EMP00047,PRG014,2023-04-15,Completed,95.6,2023-05-14,92.5,4.3
ENR000272,EMP00047,PRG015,2025-02-08,Completed,94.2,2025-03-17,85.6,4.1
ENR000273,EMP00047,PRG016,2023-10-16,Completed,97.2,2023-11-11,100.0,3.6
ENR000274,EMP00047,PRG026,2024-03-02,Completed,97.2,2024-05-09,82.8,3.4
ENR000275,EMP00047,PRG012,2025-01-25,Completed,97.6,2025-03-21,87.9,3.6
ENR000276,EMP00048,PRG013,2023-03-26,Completed,98.5,2023-04-14,68.2,3.9
ENR000277,EMP00048,PRG014,2023-01-13,Completed,92.9,2023-03-06,58.6,4.6
ENR000278,EMP00048,PRG015,2023-09-22,Completed,95.3,2023-11-04,94.0,3.1
ENR000279,EMP00048,PRG016,2023-11-27,Completed,98.0,2023-12-03,82.2,4.4
ENR000280,EMP00048,PRG020,2023-05-23,Completed,90.7,2023-06-15,92.8,3.0
ENR000281,EMP00049,PRG013,2023-04-19,Dropped,55.7,,,2.7
ENR000282,EMP00049,PRG014,2023-10-27,Completed,95.1,2023-12-10,100.0,4.5
ENR000283,EMP00049,PRG015,2024-12-19,Completed,97.2,2025-01-17,80.2,3.8
ENR000284,EMP00049,PRG016,2024-08-21,Completed,96.2,2024-10-07,90.8,3.4
ENR000285,EMP00049,PRG017,2024-03-23,Completed,100.0,2024-04-09,82.3,5.0
ENR000286,EMP00049,PRG026,2024-08-02,Completed,87.8,2024-08-27,66.6,4.0
ENR000287,EMP00049,PRG012,2023-07-14,Completed,97.8,2023-09-18,95.7,4.8
ENR000288,EMP00050,PRG013,2023-08-08,Completed,92.2,2023-09-26,95.1,3.8
ENR000289,EMP00050,PRG014,2023-07-19,Completed,95.8,2023-08-22,79.7,3.8
ENR000290,EMP00050,PRG015,2024-10-29,Dropped,23.6,,,
ENR000291,EMP00050,PRG016,2024-12-16,Dropped,28.4,,,
ENR000292,EMP00050,PRG027,2023-04-03,Completed,98.8,2023-06-13,92.9,3.2
ENR000293,EMP00051,PRG013,2024-06-14,Completed,94.4,2024-06-23,66.5,3.5
ENR000294,EMP00051,PRG014,2023-08-23,Completed,98.7,2023-08-28,76.9,4.1
ENR000295,EMP00051,PRG015,2025-04-02,Completed,99.0,2025-05-22,77.5,3.4
ENR000296,EMP00051,PRG017,2025-03-20,In Progress,29.9,,,
ENR000297,EMP00051,PRG012,2023-01-08,Completed,93.0,2023-03-04,91.9,3.9
ENR000298,EMP00052,PRG013,2024-08-20,Completed,91.5,2024-10-02,92.4,4.4
ENR000299,EMP00052,PRG014,2025-02-06,Completed,94.5,2025-04-10,67.7,4.6
ENR000300,EMP00052,PRG015,2024-06-28,Completed,94.7,2024-07-01,80.7,5.0
ENR000301,EMP00052,PRG016,2023-05-11,Dropped,0.0,,,
ENR000302,EMP00052,PRG017,2025-02-11,Completed,100.0,2025-04-06,77.6,4.7
ENR000303,EMP00052,PRG025,2024-08-11,Completed,97.9,2024-09-11,82.1,3.6
ENR000304,EMP00052,PRG029,2024-10-04,Dropped,20.4,,,
ENR000305,EMP00053,PRG013,2025-04-08,Completed,94.3,2025-06-11,76.4,4.4
ENR000306,EMP00053,PRG014,2024-11-04,Completed,99.0,2025-01-15,78.6,4.3
ENR000307,EMP00053,PRG015,2025-02-01,Completed,99.0,2025-03-08,85.1,3.4
ENR000308,EMP00053,PRG016,2025-01-28,Completed,98.8,2025-03-28,92.8,4.6
ENR000309,EMP00053,PRG017,2023-01-23,Completed,96.3,2023-03-17,74.7,4.3
